"dia","infectados","mortos","mortosD","infectadosD"
1,3,0,0,3
2,3,0,0,0
3,4,0,0,1
4,7,0,0,3
5,11,0,0,4
6,11,0,0,0
7,17,0,0,6
8,21,0,0,4
9,23,0,0,2
10,24,0,0,1
11,25,0,0,1
12,25,0,0,0
13,34,0,0,9
14,42,0,0,8
15,42,0,0,0
16,43,0,0,1
17,45,0,0,2
18,46,0,0,1
19,46,0,0,0
20,48,0,0,2
21,50,1,1,2
22,50,2,1,0
23,58,2,0,8
24,62,2,0,4
25,70,2,0,8
26,72,2,0,2
27,77,2,0,5
28,90,3,1,13
29,99,3,0,9
30,101,4,1,2
31,115,5,1,14
32,135,5,0,20
33,142,6,1,7
34,163,6,0,21
35,176,8,2,13
36,195,8,0,19
37,214,8,0,19
38,227,10,2,13
39,234,11,1,7
40,258,11,0,24
41,279,11,0,21
42,301,14,3,22
43,317,16,2,16
44,354,18,2,37
45,404,19,1,50
46,487,19,0,83
47,553,22,3,66
48,658,25,3,105
49,733,28,3,75
50,817,29,1,84
51,943,35,6,126
52,1014,36,1,71
53,1177,38,2,163
54,1335,40,2,158
55,1447,41,1,112
56,1460,45,4,13
