"time","S","I","R","D","I_"
1,3337356,1,0,0,1
2,3337353.75818347,1.06860596153803,2.04502820646901,0.128182365500061,3.2418165335071
3,3337351.36256745,1.14191701116829,4.23035678158534,0.265158757936697,5.63743255069033
4,3337348.80260612,1.22025554157453,6.56560615147169,0.411532185607606,8.19739387865383
5,3337346.06702877,1.30396607304666,9.06105804742786,0.567947107418183,10.9329712278927
6,3337343.14379334,1.39341666715953,11.7276979012953,0.735092090222919,13.8562066586777
7,3337340.02003421,1.48900051498855,14.5772624754967,0.913702794276234,16.9799657847615
8,3337336.68200161,1.59113778031729,17.6222951710655,1.10456543993967,20.3179983913225
9,3337333.11500588,1.70027729195096,20.876196837166,1.3085199924226,23.8849941215396
10,3337329.30335115,1.81689855994942,24.3532863298686,1.52646395760614,27.6966488474242
11,3337325.23026674,1.94151385825323,28.0688631014328,1.75935630513934,31.7697332648254
12,3337320.87783395,2.07467044456064,32.0392739542865,2.00822165257855,36.1221660514257
13,3337316.22690747,2.21695294583303,36.2819848225112,2.27415476465081,40.773092532995
14,3337311.25703176,2.36898589066075,40.8156570211868,2.55832533256269,45.7429682444103
15,3337305.94635175,2.53143641437397,45.6602287568234,2.86198308307404,51.0536482542714
16,3337300.27151733,2.7050171490793,50.8370022777648,3.1864632410852,56.7284826679293
17,3337294.20758143,2.89048930602821,56.3687369014468,3.53319236058544,62.7924185680605
18,3337287.72789119,3.08866596253348,62.2797483027307,3.90369454804555,69.2721088133098
19,3337280.80397179,3.30041556830802,68.5960145309588,4.29959810756679,76.1960282068336
20,3337273.40540249,3.52666568495846,75.3452891915661,4.72264263510416,83.5945975116287
21,3337265.49968417,3.76840697351991,82.5572222664407,5.17468659148641,91.5003158314471
22,3337257.05209809,4.02669744587214,90.2634890799547,5.65771538600676,99.9479019118336
23,3337248.02555505,4.30266699675006,98.4979279485141,6.17385000429648,108.974444949561
24,3337238.38043446,4.59752223403686,107.296687086127,6.72535621636574,118.61956553653
25,3337228.0744126,4.9125516260146,116.698381374261,7.31465440293807,128.925587403214
26,3337217.06227934,5.24913098498168,126.744259632518,7.94433003997601,139.937720657475
27,3337205.29574268,5.60872930935849,137.478383120787,8.61714488719605,151.704257317341
28,3337192.72322015,5.99291500376424,148.94781592278,9.33604892130807,164.276779847852
29,3337179.28961638,6.40336250208471,161.202828050537,10.1041930666058,177.710383619227
30,3337164.93608585,6.84185931670801,174.297112056714,10.9249427722245,192.063914145646
31,3337149.59977992,7.31031353985522,188.288014043322,11.8018924917687,207.400220074946
32,3337133.21357708,7.81076182306338,203.236779970958,12.7388811219742,223.786422915996
33,3337115.70579543,8.34537786261071,219.208818244786,13.7400084615975,241.294204568994
34,3337096.99988621,8.91648141992327,236.273979611046,14.8096527553279,260.000113786297
35,3337077.01410725,9.52654790701909,254.50685545044,15.9524893908176,279.985892748276
36,3337055.66117501,10.1782185678662,273.987095605521,17.1735108201009,301.338824993488
37,3337032.84789396,10.8743112882959,294.799746963982,18.4780477819954,324.152106034273
38,3337008.47476193,11.617832068269,317.035614089785,19.87179190646,348.525238064514
39,3336982.43554981,12.4119871898801,340.791643213215,21.3608197830912,374.564450186186
40,3336954.61685429,13.2601961166323,366.171331006602,22.9516185831853,402.38314570642
41,3336924.89762191,14.1661051592744,393.285159606602,24.6511133269336,432.10237809281
42,3336893.14864262,15.1336019468074,422.251059535054,26.4666958993021,463.851357381163
43,3336859.2320114,16.1668307348802,453.194901963147,28.406255905148,497.767988603175
44,3336823.00055576,17.27020859172,486.25102217175,30.4782134797133,533.999444243183
45,3336784.29722745,18.4484424959087,521.562775898065,32.6915541604318,572.702772554406
