"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,1,0,0,0
11,1,0,0,0
12,4,0,0,3
13,6,0,0,2
14,7,0,0,1
15,7,0,0,0
16,8,0,0,1
17,10,0,0,2
18,11,0,0,1
19,11,0,0,0
20,12,0,0,1
21,14,0,0,2
22,17,0,0,3
23,17,0,0,0
24,18,1,1,1
25,18,1,0,0
26,18,1,0,0
27,23,2,1,5
28,23,2,0,0
29,28,2,0,5
30,31,2,0,3
31,34,2,0,3
32,37,3,1,3
33,37,3,0,0
34,45,3,0,8
35,48,3,0,3
36,48,3,0,0
37,58,4,1,10
38,72,4,0,14
39,83,5,1,11
40,89,5,0,6
41,110,7,2,21
42,132,10,3,22
43,159,15,5,27
44,171,18,3,12
45,210,19,1,39
46,243,20,1,33
47,324,22,2,81
48,413,27,5,89
49,501,29,2,88
50,560,32,3,59
51,643,34,2,83
52,777,36,2,134
53,957,41,5,180
54,1045,47,6,88
55,1226,53,6,181
56,1372,58,5,146
57,1441,64,6,69
58,1538,72,8,97
59,1606,80,8,68
60,1703,89,9,97
61,1867,98,9,164
62,2033,108,10,166
63,2172,114,6,139
64,2258,126,12,86
65,2343,138,12,85
