"time","S","I","R","D","I_"
1,4144595,2,0,0,2
2,4144587.8948125,2.1858777409546,6.35120521706282,0.568104536475372,9.1051874944928
3,4144580.12931375,2.38901621862796,13.2926637932152,1.18900623498666,16.8706862468298
4,4144571.64219275,2.61101548056389,20.8791841498256,1.86760761588272,25.3578072462722
5,4144562.36645966,2.85362326397599,29.170651746693,2.60926533199055,34.6335403426595
6,4144552.22892107,3.11874854104793,38.2324982509532,3.41983213497829,44.7710789269794
7,4144541.14959496,3.4084766048869,48.1362247533008,4.3057036761591,55.8504050343468
8,4144529.04110342,3.72508470054683,58.9599447960039,5.27386707942617,67.9588965759769
9,4144515.80798216,4.07105977463556,70.789001884991,6.33195617666171,81.1920178362882
10,4144501.34593767,4.44911753644187,83.7166338540169,7.4883109339851,95.6540623244439
11,4144485.54103652,4.8622232196454,97.8446979481845,8.75204230924418,111.458963477074
12,4144468.26881821,5.31361425347663,113.284464307038,10.1331032277325,128.731181788247
13,4144449.39333193,5.80682482392206,130.157477589335,11.642365653064,147.606668066321
14,4144428.76608484,6.34571262239295,148.596497797431,13.2917047423187,168.233915162143
15,4144406.22489453,6.93448794909905,168.746526853749,15.0940906715674,190.775105474415
16,4144381.59263928,7.57774531313675,190.765926751789,17.0636886525829,215.407360717509
17,4144354.67589692,8.28049773341949,214.827637471145,19.2159678732732,242.324103077837
18,4144325.26346231,9.04821395844334,241.120503566692,21.5678201588347,271.73653768397
19,4144293.12473354,9.88685881933845,269.850718474486,24.1376891624659,303.87526645629
20,4144258.00795569,10.8029369449893,301.243396398148,26.9457109679383,338.992044311075
21,4144219.63831052,11.8035400773792,335.544282348054,30.0138670497029,377.361689475136
22,4144177.71583953,12.8963982330869,373.0216116314,33.3661506011225,419.284160465609
23,4144131.91318687,14.0899349633177,413.968130857369,37.0287473099573,465.086813130644
24,4144081.87314808,15.39332696736,458.703293232774,41.0302317238373,515.126851923971
25,4144027.20600937,16.8165683181358,507.575641881736,45.4017804341656,569.793990634037
26,4143967.48666129,18.3705395563893,560.965395769733,50.1774033826399,629.513338708762
27,4143902.25147095,20.0670818815589,619.287252590611,55.3941945747422,694.748529046912
28,4143830.99489432,21.9190766831497,682.993425298965,61.0926036924115,766.005105674526
29,4143753.16581092,23.9405306087398,752.57692842041,67.3167300489241,843.834189078074
30,4143668.16356178,26.1466663415381,828.575131441248,74.1146404335741,928.83643821636
31,4143575.33367181,28.5540192057745,911.573596585682,81.5387123943369,1021.66632818579
32,4143473.96323691,31.1805396607212,1002.21021886577,89.6460045583172,1123.03676308481
33,4143363.2759564,34.0457016646158,1101.17968633929,98.4986555942502,1233.72404359815
34,4143242.42679163,37.1706167867399,1209.2382781857,108.164313392264,1354.57320836471
35,4143110.49623264,40.5781538133368,1327.20901756394,118.716595978265,1486.50376735554
36,4142966.48415527,44.2930634412464,1455.98719566106,130.235585630726,1630.51584473303
37,4142809.30325355,48.3421074538844,1596.54628149375,142.808357502411,1787.69674645005
38,4142637.77203508,52.7541915359466,1749.94422955163,156.529543828366,1959.22796491594
39,4142450.60736991,57.5605005985148,1917.33019491068,171.501934581434,2146.39263009063
40,4142246.41658851,62.7946351417009,2099.95166128637,187.837115064516,2350.58341149258
41,4142023.68913034,68.4927467733283,2299.16198241483,205.656140474331,2573.31086966249
42,4141780.78775184,74.6936705197001,2516.4283307434,225.090246898305,2816.2122481614
43,4141515.93931212,81.4390509987275,2753.34003939496,246.281597489135,3081.06068788282
44,4141227.22516595,88.77345886735,3011.61731350028,269.384061678692,3369.77483404632
45,4140912.57120762,96.7444931949685,3293.12027496935,294.564024217486,3684.4287923818
46,4140569.73762565,105.402864544081,3599.85829027613,322.001219529184,4027.26237434939
47,4140196.30844861,114.802452551469,3933.99951351429,351.889585320774,4400.69155138653
48,4139789.68098527,125.000330693668,4297.88055648093,384.438127555147,4807.31901472974
49,4139347.05529008,136.0567496883,4694.01617348877,419.871786741128,5249.9447099182
50,4138865.42381674,148.035069632894,5125.10882062837,458.432292993269,5731.57618325454
51,4138341.56145908,161.00162952716,5594.05791695913,500.378994429684,6255.43854091597
52,4137772.01622022,175.025541285461,6103.96859831131,545.989640184788,6824.98377978156
53,4137153.10079636,190.17839382664,6658.15971410324,595.561095711042,7443.89920364092
54,4136480.8854177,206.533851036844,7260.17076768174,649.409963580632,8116.11458229922
55,4135751.19234995,224.167125783018,7913.76744614581,707.873078118819,8845.80765004765
56,4134959.59249424,243.154311994664,8622.94535436194,771.307839405278,9637.40750576189
57,4134101.40463031,263.57155388875,9391.93147218233,840.0923436198,10495.5953696909
58,4133171.69788721,285.494032209534,10225.182817158,914.625263424239,11425.3021127918
59,4132165.29810426,308.994746752145,11127.3817233308,995.32542565847,12431.7018957414
60,4131076.79880566,334.143075825281,12103.4270899579,1082.63102855364,13520.2011943368
61,4129900.57757386,361.003095083194,13158.420895615,1176.99843544156,14696.4224261398
62,4128630.81865823,389.631641694096,14297.6492226478,1278.90047742406,15966.181341766
63,4127261.54268493,420.076115189186,15526.5570052446,1388.82419463092,17335.4573150647
64,4125786.64434528,452.37201367672,16850.7156969155,1507.2679441307,18810.3556547229
65,4124199.93891856,486.540213922302,18275.7830639873,1634.73780352707,20397.0610814367
66,4122495.21842479,522.584016273755,19807.4543557238,1771.74320320884,22101.7815752064
