"dia","infectados","mortos","mortosD","infectadosD"
1,2,0,0,2
2,2,0,0,0
3,2,0,0,0
4,2,0,0,0
5,2,0,0,0
6,2,0,0,0
7,3,0,0,1
8,7,0,0,4
9,11,0,0,4
10,26,0,0,15
11,32,0,0,6
12,47,1,1,15
13,54,1,0,7
14,67,1,0,13
15,81,1,0,14
16,111,1,0,30
17,140,1,0,29
18,151,2,1,11
19,175,3,1,24
20,200,3,0,25
21,229,3,0,29
22,260,7,4,31
23,311,12,5,51
24,417,15,3,106
25,532,19,4,115
26,636,23,4,104
27,804,30,7,168
28,899,40,10,95
29,981,50,10,82
30,1050,53,3,69
31,1206,62,9,156
32,1275,71,9,69
33,1484,90,19,209
34,1554,106,16,70
35,1719,124,18,165
36,1809,145,21,90
37,1897,161,16,88
38,2044,182,21,147
39,2160,185,3,116
40,2270,193,8,110
41,2479,207,14,209
42,2888,234,27,409
43,3194,255,21,306
44,3635,287,32,441
45,3833,304,17,198
46,3928,320,16,95
47,4337,351,31,409
48,4801,380,29,464
49,5254,425,45,453
50,5723,476,51,469
51,6062,501,25,339
52,6683,548,47,621
53,7313,585,37,630
54,8109,649,64,796
55,9243,751,102,1134
56,10099,806,55,856
57,10727,874,68,628
58,11925,962,88,1198
59,12599,1004,42,674
60,12919,1035,31,320
