"time","S","I","R","D","I_"
1,845730,1,0,0,1
2,845728.772252108,1.12739214057617,1.06242362698587,0.0379321241759214,2.22774789173797
3,845727.388102453,1.27101074244013,2.26019034914766,0.0806964555450612,3.61189754713286
4,845725.827629586,1.43292210837177,3.61053979868344,0.128908507404257,5.17237041445946
5,845724.068374644,1.61545558704044,5.13290757238055,0.183262196428596,6.93162535584959
6,845722.08502743,1.82123607952475,6.84919694629252,0.244539543806252,8.91497256962352
7,845719.849043547,2.05322367396124,8.78411027154902,0.313622507192053,11.1509564527023
8,845717.328252498,2.31475420163232,10.9654882081257,0.391505092502762,13.6717475022608
9,845714.486388642,2.60958776099176,13.4247157470178,0.479307850284751,16.5136113582943
10,845711.28257064,2.94196254941577,16.1971728458668,0.578293964933114,19.7174293602157
11,845707.670716419,3.3166553352994,19.3227409085219,0.689887337728562,23.3292835815498
12,845703.598880833,3.73904988612484,22.8463762201313,0.815693060413613,27.4011191666697
13,845699.008510804,4.21521387929734,26.8187548758654,0.957520441333758,31.9914891964965
14,845693.833608987,4.75198520165447,31.2969969510174,1.11740886076436,37.1663910134362
15,845687.999787744,5.35706949889964,36.3454857363078,1.29765702038753,43.0002122555949
16,845681.423204919,6.03914982254637,42.0367894085274,1.50085585005775,49.5767950811315
17,845674.009365905,6.80800993821963,48.4526986044177,1.72992555270583,56.9906340953432
18,845665.651774373,7.67467306855316,55.6853952240935,1.98815733458238,65.348225627229
19,845656.230413372,8.65155789384193,63.8387683465995,2.27926038790296,74.7695866283444
20,845645.610035649,9.75265391306323,73.0298956549155,2.60741478274153,85.3899643507202
21,845633.638239628,10.9937184931241,83.390710878421,2.97733100037758,97.3617603719226
22,845620.143304706,12.3924981888306,95.0698801787703,3.39431692663122,110.856695294232
23,845604.931756393,13.9689772040312,108.234913179772,3.86435322278444,126.068243606588
24,845587.785628397,15.7456561669286,123.074537337725,4.39417809864911,143.214371603303
25,845568.459384959,17.7478647211766,139.8013676879,4.99138263156451,162.540615040641
26,845546.676462629,20.0041117844774,158.6549076804,5.66451790640786,184.323537371285
27,845522.125386058,22.5464776949408,179.90492085081,6.42321539566343,208.874613941415
28,845494.455407511,25.4110528491855,203.855217483104,7.27832215612181,236.544592488412
29,845463.27161436,28.6384278280588,230.847905221766,8.24205259013861,267.728385639964
30,845428.129443117,32.274240396617,261.268157781784,9.32815870474297,302.870556883144
31,845388.528532375,36.3697851414064,295.549561481985,10.5521210009977,342.471467624389
32,845343.905840544,40.9826918518889,334.180105265705,11.9313623380382,387.094159455632
33,845293.627947492,46.1776790395718,377.708886128982,13.4854873395846,437.372052508138
34,845236.982452294,52.0273891854987,426.753608377615,15.2365501428344,494.017547705948
35,845173.168372331,58.6133123715962,482.008961770637,17.2093535265795,557.831627668813
36,845101.28544226,66.0268048286652,544.255970220181,19.4317826914753,629.714557740321
37,845020.322205172,74.3702085524656,614.372409082985,21.9351771926526,710.677794828104
38,844929.142783138,83.7580774033674,693.3443947314,24.7547447266816,801.857216861449
39,844826.472210963,94.318513895201,782.27925450893,27.9300206326026,904.527789036734
40,844710.880208989,106.194619314568,882.419794400268,31.505377296101,1020.11979101094
41,844580.763289354,119.546056565005,995.160066962473,35.53058711809,1150.23671064557
42,844434.325073276,134.550722436576,1122.06276090516,40.0614433816593,1296.67492672339
43,844269.55472403,151.406520541439,1264.87831282309,45.1604426057002,1461.44527597023
44,844084.203410179,170.333220041406,1425.56583793622,50.8975318432628,1646.79658982089
45,843875.758747495,191.574376768773,1606.31595222733,57.3509235092157,1855.24125250532
46,843641.417204949,215.399282668688,1809.57553296719,64.6079794149131,2089.58279505079
47,843378.05451647,242.10489583009,2038.07442348057,72.7661642188443,2352.9454835295
48,843082.194212635,272.017687012478,2294.85403378581,81.9340665664007,2648.80578736469
49,842749.974490408,305.495316745781,2583.29770948356,92.2324833621257,2981.02550959147
50,842377.113760446,342.928031998471,2907.16264825788,103.795559296974,3353.88623955333
