"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,1,0,0,0
6,2,0,0,1
7,2,0,0,0
8,3,0,0,1
9,4,0,0,1
10,8,0,0,4
11,8,0,0,0
12,10,0,0,2
13,11,0,0,1
14,12,0,0,1
15,19,0,0,7
16,29,1,1,10
17,32,2,1,3
18,39,2,0,7
19,51,2,0,12
20,107,2,0,56
21,128,2,0,21
22,166,2,0,38
23,193,5,3,27
24,237,5,0,44
25,244,6,1,7
26,308,7,1,64
27,340,7,0,32
28,362,10,3,22
29,375,10,0,13
30,400,10,0,25
31,416,11,1,16
32,435,13,2,19
33,466,13,0,31
34,492,14,1,26
35,555,16,2,63
36,648,18,2,93
37,689,20,2,41
38,821,23,3,132
39,842,26,3,21
40,918,28,2,76
41,1016,31,3,98
42,1080,34,3,64
43,1121,37,3,41
44,1187,40,3,66
45,1482,43,3,295
46,1733,49,6,251
47,1931,55,6,198
48,2046,56,1,115
49,2199,61,5,153
50,2322,66,5,123
51,2493,69,3,171
52,2613,72,3,120
53,2671,73,1,58
