"time","S","I","R","D","I_"
1,14873063,1,0,0,1
2,14873060.5091865,1.08522325851114,2.31074884797173,0.0948413483406065,3.49081345482348
3,14873057.8060985,1.17770904291168,4.818427081744,0.19776537883579,6.19390150349147
4,14873054.8726465,1.27807616062388,7.53981645010696,0.309460874121607,9.12735348485244
5,14873051.6891995,1.38699614452396,10.4931289945541,0.430675321131914,12.31080046021
6,14873048.2344562,1.50519764694223,13.6981263161148,0.562219806233207,15.7655437692903
7,14873044.4852977,1.63347147251626,17.1762561961153,0.704974622626404,19.5147022912579
8,14873040.4166354,1.7726757768438,20.9507937328627,0.859895063098149,23.5833645728047
9,14873036.0012448,1.92374175096891,25.0469956862069,1.02801775487038,27.9987551920461
10,14873031.2095815,2.08767989922848,29.4922709522153,1.2104676564871,32.7904185079309
11,14873026.0095844,2.26558676557578,34.316363241734,1.408465555592,37.9904155629018
12,14873020.3664613,2.45865226229627,39.5515501488734,1.6233362394069,43.6335386505765
13,14873014.2424561,2.66816761429953,45.2328589736741,1.85651735286129,49.7575439408349
14,14873007.5965966,2.89553396081376,51.3983004443747,2.10956899138514,56.4034033965736
15,14873000.3844215,3.1422717013761,58.0891227110601,2.38418412571131,63.6155785381475
16,14872992.5576824,3.4100306378467,65.3500870285572,2.68219991688174,71.4423175832856
17,14872984.0640223,3.70060097100437,73.2297667344478,3.00560998736808,79.9359776928203
18,14872974.8466254,4.01592522809243,81.7808716153427,3.35657773421684,89.153374577652
19,14872964.8438382,4.35811120104905,91.0605998496248,3.73745077403085,99.1561618247047
20,14872953.9887576,4.72944597951594,101.131019837528,4.15077661463323,110.011242431677
21,14872942.2087847,5.13241117060547,112.059484448768,4.59931965726307,121.791215276636
22,14872929.4251405,5.56969940490808,123.919080427811,5.08607964176529,134.574859474484
23,14872915.5523402,6.04423223641239,136.789115926508,5.61431165666354,148.447659819584
24,14872900.4976232,6.55917955287183,150.75564938306,6.18754784623311,163.502376782165
25,14872884.1603352,7.1179806226605,165.912063234586,6.80962095770461,179.839664814951
26,14872866.431257,7.72436691443215,182.359686241465,7.48468988366756,197.568743039565
27,14872847.1918773,8.38238683695442,200.208468516015,8.21726736764731,216.808122720617
28,14872826.3136037,9.0964325583907,219.577713687888,9.01225005477605,237.686396301055
29,14872803.6569068,9.87126907710163,240.596873005791,9.87495108455077,260.343093167444
30,14872779.0703923,10.7120657297908,263.406406571779,10.8111354389506,284.929607740521
31,14872752.3897941,11.6244303375831,288.158717332619,11.8270582767633,311.610205946966
32,14872723.4368834,12.6144462064568,315.019163914891,12.9295065039384,340.563116625286
33,14872692.018285,13.6887122154103,344.167158889006,14.125843850248,371.981714954665
34,14872657.9241944,14.854386243887,375.79735958475,15.4240597445895,406.075805573227
35,14872620.9269863,16.1192322093622,410.120959159962,16.8328223050355,443.07301367436
36,14872580.779707,17.4916710066713,447.367086247413,18.361535785317,483.220293039401
37,14872537.2144393,18.980835662661,487.784322175649,20.020402846962,526.785560685272
38,14872489.9405314,20.5966310431374,531.642345480651,21.8204920559001,574.059468579689
39,14872438.6426763,22.34979847387,579.233714199618,23.7738110341368,625.357323707624
40,14872382.9788313,24.2519856636333,630.875797269213,25.893385731204,681.021168664051
41,14872322.5779641,26.3158223449056,686.912867241379,28.1933463166575,741.422035902942
42,14872257.0376102,28.5550020768989,747.718367483396,30.6890202340285,806.962389794324
43,14872185.9212283,30.9843706860053,813.697368048475,33.3970329984837,878.078771732964
44,14872108.7553353,33.620021850451,885.28922549156,36.3354173651233,955.244664707134
45,14872025.026405,36.479400368818,962.970463065144,39.523731542457,1038.97359497642
46,14871934.1775102,39.5814136859837,1047.257888964,42.9831871762543,1129.82248982624
47,14871835.6046882,42.9465522846972,1138.71197159792,46.7367878827383,1228.39531176535
48,14871728.653009,46.5970195861854,1237.94049225923,50.8094791670478,1335.34699101246
49,14871612.6123203,50.5568720384707,1345.60249701787,55.2283106230603,1451.3876796794
50,14871486.7126473,54.8521701060246,1462.41257122041,60.0226113740309,1577.28735270047
51,14871350.1192177,59.5111409083619,1589.14546159017,65.2241797800134,1713.88078227854
52,14871201.9270856,64.5643532874752,1726.64107261928,70.8674885075552,1862.07291441431
53,14871041.1553223,70.0449061066438,1875.80986545334,76.9899061191191,2022.8446776791
54,14870866.7407424,75.9886306432297,2037.63869052155,83.6319364649602,2197.25925762974
55,14870677.5311301,82.4343078992043,2213.19708487617,90.8374771483273,2386.4688699237
56,14870472.2779313,89.4239017046693,2403.64406852651,98.654098471174,2591.72206870235
57,14870249.6283709,97.0028085054608,2610.23547624793,107.133344357667,2814.37162911105
58,14870008.1169558,105.220124700903,2834.33186268983,116.331056807925,3055.88304419866
59,14869746.1563215,114.128932384313,3077.40702065097,126.307725518319,3317.8436785536
60,14869462.0273773,123.786604294785,3341.05715399511,137.128864370552,3601.97262266044
61,14869153.8687058,134.255128743258,3627.01074885975,148.865416581153,3910.13129418416
62,14868819.6651662,145.601455193504,3937.13918828964,161.594190363781,4244.33483384693
63,14868457.2356555,157.897861053597,4273.4681564314,175.398326997914,4606.76434448291
64,14868064.2199768,171.222340091304,4638.18987983627,190.367803255444,4999.78002318302
65,14867638.0647623,185.659012708745,5033.67625484692,206.599970195297,5425.93523775096
66,14867176.0084028,201.298558039447,5462.49290890386,224.200130289443,5887.99159723275
67,14866675.0649339,218.238667532791,5927.41424372294,243.282154848391,6388.93506610412
68,14866132.0068294,236.584519320626,6431.43950760745,263.969143686012,6931.99317061409
69,14865543.3466572,256.449272189958,6977.80994171639,286.394128863358,7520.65334276971
70,14864905.3175564,277.954577424345,7570.02704192819,310.700824220471,8158.682443573
71,14864213.8524983,301.231106101717,8211.87197338997,337.04442221852,8850.14750171021
72,14863464.5623034,326.419088629608,8907.42616861869,365.592439359093,9599.43769660739
73,14862652.7123947,353.668862342541,9661.09313185378,396.525611112365,10411.2876053087
