"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,2,0,0,1
3,2,0,0,0
4,2,0,0,0
5,2,0,0,0
6,3,0,0,1
7,3,0,0,0
8,7,0,0,4
9,7,0,0,0
10,9,0,0,2
11,10,0,0,1
12,14,0,0,4
13,27,0,0,13
14,31,0,0,4
15,34,0,0,3
16,41,0,0,7
17,55,0,0,14
18,63,0,0,8
19,79,0,0,16
20,91,0,0,12
21,108,0,0,17
22,123,0,0,15
23,127,0,0,4
24,156,1,1,29
25,176,2,1,20
26,217,2,0,41
27,246,2,0,29
28,267,3,1,21
29,290,6,3,23
30,336,7,1,46
31,401,9,2,65
32,437,10,1,36
33,462,14,4,25
34,515,18,4,53
35,568,19,1,53
36,616,19,0,48
37,640,21,2,24
38,674,21,0,34
39,723,22,1,49
40,776,26,4,53
41,884,28,2,108
42,967,34,6,83
43,1064,36,2,97
44,1200,40,4,136
45,1249,45,5,49
46,1377,47,2,128
47,1504,48,1,127
48,1645,53,5,141
49,1845,62,9,200
50,1979,67,5,134
51,2116,72,5,137
52,2248,74,2,132
53,2356,83,9,108
54,2564,93,10,208
55,2676,100,7,112
56,2867,106,6,191
57,3140,117,11,273
58,3315,123,6,175
59,3566,128,5,251
60,3734,141,13,168
61,4040,146,5,306
62,4301,160,14,261
63,4528,165,5,227
64,4819,183,18,291
65,5175,196,13,356
66,5559,202,6,384
67,5816,214,12,257
