"time","S","I","R","D","I_"
1,9132069,9,0,0,9
2,9132057.20312372,9.88711910994948,9.43661097368101,1.47314619880704,20.7968762824375
3,9132044.24347092,10.8616621783953,19.8033694831078,3.09149741988693,33.75652908139
4,9132030.00645228,11.9322413010558,31.1919426329524,4.86936378444526,47.9935477184535
5,9132014.36621297,13.1083145548058,43.7030101060243,6.82246236426144,63.6337870250916
6,9131997.18447934,14.4002724570509,57.4471869646911,8.96806123991147,80.8155206616535
7,9131978.30936844,15.8195271771892,72.5459761824647,11.3251282001568,99.6906315598106
8,9131957.57404704,17.3786129980345,89.1328417027146,13.914498256783,120.425952957532
9,9131934.79525431,19.0912969427575,107.35439056049,16.7590581852441,143.204745688492
10,9131909.77169194,20.9726992775288,127.37166114716,19.8839476352265,168.228308059915
11,9131882.2822465,23.0394265065738,149.361545784746,23.3167812082554,195.717753499575
12,9131852.08404404,25.3097168437598,173.518347606768,27.0878915018447,225.915955952372
13,9131818.91031637,27.8035996759068,200.055488251342,31.2305956968989,259.089683624148
14,9131782.46805426,30.5430708342719,229.207386133505,35.7814887741799,295.531945741957
15,9131742.43543135,33.5522848600223,261.231518387128,40.7807654033738,335.564568650524
16,9131698.45897798,36.8577657744452,296.410683134558,46.2725731052514,379.541022014255
17,9131650.15047921,40.4886382195827,335.055482664062,52.3053998996722,427.849520783317
18,9131597.0835705,44.476880891335,377.507048835418,58.9324997677454,480.916429494499
19,9131538.7900022,48.8576043463619,424.140033906646,66.2123595487941,539.209997801801
20,9131474.75554097,53.6693554629139,475.365892307632,74.2092112569455,603.244459027492
21,9131404.41547358,58.9544510305937,531.636481220806,82.9935941665803,673.58452641798
22,9131327.14967499,64.7593431586039,593.448010426309,92.6429714213488,750.850325006261
23,9131242.27719955,71.1350194198143,661.345374671461,103.242406358926,835.722800450202
24,9131149.05035003,78.1374408902188,735.926904857823,114.885304217244,928.949649965286
25,9131046.64817546,85.8280215008563,817.849577628115,127.674225401371,1031.35182453034
26,9130934.16934407,94.2741523909232,907.834726486609,141.721777044614,1143.83065592215
27,9130810.62433315,103.549775236058,1006.6743014168,157.151590195352,1267.37566684821
28,9130674.92687248,113.736008823287,1115.23772808202,174.099390604567,1403.07312750988
29,9130525.88457264,124.921833451896,1234.47942211938,192.714171779754,1552.11542735103
30,9130362.18866346,137.204838054798,1365.44701877355,213.159479710333,1715.81133653869
31,9130182.40276211,150.692035253947,1509.29038317126,235.614819458585,1895.59723788379
32,9129984.95058355,165.500749881048,1667.27147190972,260.277194648953,2093.04941643972
33,9129768.10249909,181.759586804596,1840.77512231971,287.3627917763,2309.89750090061
34,9129529.96084185,199.609484197721,2031.32085175317,317.108822188775,2548.03915813966
35,9129268.44385025,219.20485864775,2240.5757555159,349.775535579796,2809.55614974345
36,9128981.26813283,240.714848734263,2470.36859858385,385.648419841185,3096.7318671593
37,9128665.92952999,264.324663871083,2722.70520295784,425.040603177997,3412.07047000692
38,9128319.68224137,290.237045223392,2999.78523813153,468.295475262887,3758.3177586178
39,9127939.51607235,318.673845890467,3304.0205354659,515.789546287013,4138.48392764338
40,9127522.13166071,349.877736597195,3638.05504091524,567.935561773454,4555.86833928588
41,9127063.91352241,384.114043580014,4004.78653995699,625.185894048774,5014.08647758578
42,9126560.90075525,421.672724505801,4407.39028891553,688.036231321115,5517.09924474245
43,9126008.75523179,462.870487509919,4849.34469423144,757.029586462383,6069.24476820374
44,9125402.72711087,508.053057223381,5334.45918389185,832.760648007955,6675.27288912319
45,9124737.61749452,557.597590093238,5866.90441891437,915.880496461385,7340.382505469
46,9124007.73805612,611.915239288067,6451.24499520925,1007.10170937123,8070.26194386855
47,9123206.86746993,671.453866853832,7092.47478477316,1107.20387843303,8871.13253006003
48,9122328.20448261,736.700897169552,7796.05505926464,1217.03956094803,9749.79551738222
49,9121364.31747803,808.18630157426,8567.95553330565,1337.54068707926,10713.6825219592
50,9120307.09040461,886.485698684771,9414.69845404092,1469.72544265802,11770.9095953837
51,9119147.66496954,972.223548240555,10343.4058387806,1614.70564343657,12930.3350304577
52,9117876.37903778,1066.07640829534,11361.8499406605,1773.69461326549,14201.6209622213
53,9116482.70122376,1168.77621582242,12478.5069872116,1948.01557320394,15595.298776238
