"dia","infectados","mortos","mortosD","infectadosD"
1,9,0,0,9
2,10,0,0,1
3,19,0,0,9
4,20,0,0,1
5,68,0,0,48
6,84,0,0,16
7,125,0,0,41
8,164,0,0,39
9,185,0,0,21
10,211,0,0,26
11,237,3,3,26
12,282,3,0,45
13,322,4,1,40
14,359,5,1,37
15,382,5,0,23
16,401,7,2,19
17,445,9,2,44
18,565,20,11,120
19,658,22,2,93
20,745,23,1,87
21,963,35,12,218
22,1046,36,1,83
23,1189,40,4,143
24,1394,57,17,205
25,1445,57,0,51
26,1558,67,10,113
27,1668,74,7,110
28,1747,76,2,79
29,1936,100,24,189
30,2072,111,11,136
31,2292,124,13,220
32,2412,135,11,120
33,2747,155,20,335
34,3062,180,25,315
35,3308,189,9,246
36,3487,206,17,179
37,3716,221,15,229
38,4116,239,18,400
39,4702,271,32,586
40,5121,293,22,419
41,5667,326,33,546
42,6260,376,50,593
43,6783,397,21,523
44,6985,417,20,202
45,7411,450,33,426
46,7861,492,42,450
47,8000,539,47,139
48,8309,638,99,309
49,8379,677,39,70
50,11040,712,35,2661
51,11470,795,83,430
52,12310,849,54,840
53,13888,903,54,1578
54,15134,997,94,1246
55,15879,1062,65,745
56,16692,1114,52,813
57,17599,1189,75,907
