"time","S","I","R","D","I_"
1,3015267,1,0,0,1
2,3015263.63265036,1.06414051928876,3.24149606728575,0.0617130509822367,4.36734963755674
3,3015260.04932723,1.13239080186342,6.69089767217206,0.127384300516963,7.95067277455244
4,3015256.23619459,1.20501359648343,10.3615244752561,0.197267334256126,11.7638054059957
5,3015252.1785307,1.2822884017934,14.2675489204256,0.271631973521121,15.8214692957401
6,3015247.86067333,1.36451249093756,18.4240489014152,0.350765277992245,20.139326670345
7,3015243.26596128,1.45200200700754,22.8470640961718,0.434972618227516,24.7340387214069
8,3015238.37666615,1.54509323918915,27.5536616810923,0.5245789267597,29.6233338470411
9,3015233.17392975,1.64414379158025,32.5619966157173,0.619929845823267,34.8260702531208
10,3015227.63768997,1.74953396494281,37.891382983038,0.721393085563025,40.3623100335438
11,3015221.74660472,1.86166817409708,43.5623672855602,0.829359819477365,46.2533952791347
12,3015215.47797103,1.98097645199794,49.5968063484553,0.944246167573253,52.5220289680265
13,3015208.80763862,2.10791605372948,56.0179505414331,1.06649478078146,59.192361375944
14,3015201.70991854,2.24297314997994,62.8505317940735,1.19657651663176,66.2900814606852
15,3015194.15748598,2.38666462414947,70.1208571790587,1.33499222093238,73.8425140241405
16,3015186.12127697,2.53953997937366,77.8569084246116,1.48227462233223,81.8787230263175
17,3015177.57037873,2.70218335872682,86.0884475642927,1.63899034372898,90.4296212667485
18,3015168.4719132,2.87521568462036,94.8471290822136,1.80574203733977,99.5280868041737
19,3015158.79091343,3.05929692476035,104.166618990765,1.98317065175621,109.209086567281
20,3015148.49019243,3.2551284910906,114.082721235428,2.1719578384957,119.509807565015
21,3015137.53020386,3.46345577860242,124.633511853998,2.37282850618462,130.469796138785
22,3015125.86889428,3.68507085116277,135.859481341537,2.58655353096605,142.131105723666
23,3015113.46154639,3.92081528170983,147.803685694027,2.81395263213624,154.538453607873
24,3015100.2606128,4.17158315438064,160.511906627648,3.0558974224709,167.7393872045
25,3015086.21553963,4.4383242363171,174.032821494641,3.31331464315934,181.784460374118
26,3015071.27257965,4.72204732693725,188.418183433244,3.58718959357947,196.727420353761
27,3015055.37459408,5.02382379323243,203.723012359085,3.8785697674773,212.625405919795
28,3015038.46084267,5.34479129823981,220.005797327384,4.18856870562897,229.539157331253
29,3015020.46676124,5.68615773167319,237.328710945632,4.51837007792526,247.533238755231
30,3015001.32372619,6.0492053504165,255.757836453807,4.86923200662609,266.67627381085
31,3014980.95880505,6.4352951371743,275.363408163682,5.24249164395167,287.041194944808
32,3014959.29449266,6.84587138493816,296.220065939772,5.63957001700448,308.705507341715
33,3014936.24843188,7.28246651490065,318.407124447183,6.06197715383011,331.751568115913
34,3014911.73311844,7.74670613507583,342.00885791512,6.51131750487228,356.266881555069
35,3014885.6555888,8.24031434633091,367.114801181012,6.98929567438536,382.344411201728
36,3014857.91709043,8.76511930174492,393.820067794643,7.49772247664314,410.082909573031
37,3014828.41273365,9.32305902461649,422.225685995349,8.03852133242271,439.587266352388
38,3014797.0311241,9.91618748939963,452.438953392242,8.61373502156524,470.968875903207
39,3014763.65397507,10.5466809682465,484.573811155239,9.22553280699191,504.346024930477
40,3014728.15569884,11.2168446446702,518.751238566017,9.87621794634153,539.844301157028
41,3014690.40297613,11.9291194939149,555.099668768203,10.5682356072083,577.597023869327
42,3014650.25430282,12.6860894274476,593.755426549954,11.3041812018422,617.745697179244
43,3014607.55951316,13.4904886964788,634.863188981622,12.0868091569751,660.440486835076
44,3014562.15927861,14.3452095464596,678.576469710452,12.9190421340393,705.84072139095
45,3014513.88458149,15.2533101110675,725.058127683748,13.8039807144667,754.115418509282
46,3014462.55616288,16.2180225302198,774.480901029763,14.7449135639519,805.443837123935
47,3014407.98394387,17.2427612720789,827.027966769965,15.7453280885043,860.016056130548
48,3014349.96641981,18.3311316337644,882.893526965321,16.8089215937631,918.033580192848
49,3014288.29002684,19.4869383894956,942.283421810607,17.9396129573611,979.709973157464
50,3014222.72848055,20.7141945480714,1005.41577008199,19.1415548220515,1045.27151945211
51,3014153.0420863,22.0171301738623,1072.52163721156,20.41914631481,1114.95791370023
52,3014078.97702138,23.4002012167598,1143.8457311051,21.777046294124,1189.02297861598
53,3014000.26458896,24.8680982867001,1219.64712563276,23.220187124132,1267.73541104359
54,3013916.62044423,26.4257552973496,1300.2000115032,24.7537889701004,1351.37955577065
55,3013827.74379353,28.0783578912203,1385.79447397558,26.3833746048527,1440.25620647165
56,3013733.31656718,29.8313515447506,1476.73729656723,28.1147847101152,1534.6834328221
57,3013633.00256754,31.6904492366569,1573.35278957231,29.9541936502251,1634.9974324592
58,3013526.44659395,33.6616385460189,1675.98364181426,31.9081256881747,1741.55340604845
59,3013413.27354676,35.751188028024,1784.9917936065,33.983471605428,1854.72645323995
60,3013293.08751324,37.9656526949685,1900.75932838683,36.1875056772537,1974.91248675905
61,3013165.47083873,40.3118784079371,2023.68937991468,38.5279029443525,2102.52916126697
62,3013029.98318706,42.7970049604959,2154.20705127189,41.0127567092052,2238.01681294159
63,3012886.16059504,45.4284676097284,2292.76034118043,43.6505961717229,2381.83940496188
64,3012733.51452678,48.2139967820235,2439.82107233814,46.450404103318,2534.48547322348
65,3012571.53093434,51.1616156512507,2595.88581557116,49.4216344413309,2696.46906566374
66,3012399.66933247,54.2796352554492,2761.47680260238,52.5742296667242,2868.33066752455
67,3012217.36189627,57.576646785125,2937.14281913573,55.9186378070206,3050.63810372787
68,3012024.01259173,61.0615106418147,3123.46006874748,59.465828883451,3243.98740827274
69,3011818.99635063,64.7433418368461,3321.03299692823,63.2273105994348,3449.00364936451
70,3011601.65830348,68.6314912283138,3530.49506227227,67.2151430228271,3666.34169652341
71,3011371.31308351,72.7355221417457,3752.50944232485,71.4419520241558,3896.68691649076
72,3011127.24421946,77.0651817863954,3987.76965759391,75.9209411568338,4140.75578053714
