"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,2,0,0,1
6,2,0,0,0
7,2,0,0,0
8,8,0,0,6
9,14,0,0,6
10,19,0,0,5
11,22,0,0,3
12,34,0,0,12
13,42,0,0,8
14,87,0,0,45
15,108,0,0,21
16,117,0,0,9
17,138,0,0,21
18,161,0,0,23
19,195,0,0,34
20,201,0,0,6
21,241,0,0,40
22,260,0,0,19
23,298,1,1,38
24,312,2,1,14
25,333,3,1,21
26,370,4,1,37
27,400,5,1,30
28,419,6,1,19
29,456,7,1,37
30,468,7,0,12
31,485,10,3,17
32,503,12,2,18
33,509,12,0,6
34,527,13,1,18
35,556,14,1,29
36,592,14,0,36
37,618,14,0,26
38,641,15,1,23
39,651,17,2,10
40,688,17,0,37
41,727,20,3,39
42,756,24,4,29
43,796,24,0,40
44,860,24,0,64
45,875,24,0,15
46,913,24,0,38
47,959,25,1,46
48,968,26,1,9
49,1012,26,0,44
50,1020,27,1,8
51,1125,27,0,105
52,1189,28,1,64
53,1230,28,0,41
54,1313,28,0,83
55,1423,30,2,110
56,1546,31,1,123
57,1605,32,1,59
58,1720,33,1,115
59,1793,33,0,73
60,1837,34,1,44
61,2046,35,1,209
62,2258,35,0,212
63,2442,37,2,184
64,2576,39,2,134
65,2682,42,3,106
66,2799,44,2,117
