"time","S","I","R","D","I_"
1,4018649,1,0,0,1
2,4018647.85244073,1.09889090975083,1.04866836354146,0,2.14755927329229
3,4018646.5913988,1.20756084034556,2.2010403547055,0,3.40860119505106
4,4018645.20565236,1.32697673107667,3.46737091099631,0,4.79434764207298
5,4018643.68286969,1.45820113463505,4.85892917673766,0,6.31713031137271
6,4018642.00950012,1.60240161845412,6.38809826249573,0,7.99049988094984
7,4018640.17065499,1.76086101254129,8.06848399374148,0,9.82934500628277
8,4018638.14996945,1.9349893126887,9.91504123505103,0,11.8500305477397
9,4018635.92946371,2.12633562471325,11.9442006621478,0,14.0705362868611
10,4018633.48937988,2.33660221502789,14.1740179006843,0,16.5106201157122
11,4018630.8080066,2.56765960811349,16.6243337939055,0,19.191993402019
12,4018627.86148638,2.82156316856829,19.3169504492403,0,22.1385136178086
13,4018624.62360282,3.10057142105784,22.2758257590591,0,25.3763971801169
14,4018621.06554801,3.40716606353109,25.527285927589,0,28.9344519911201
15,4018617.15566667,3.74407398707337,29.1002593409364,0,32.8443333280098
16,4018612.85917463,4.11429149854425,33.0265338733374,0,37.1408253718817
17,4018608.13784966,4.52111091429632,37.3410394295514,0,41.8621503438478
18,4018602.94969195,4.96814976492065,42.0821582871274,0,47.0503080520481
19,4018597.24855102,5.45938287891083,47.2920661029804,0,52.7514489818912
20,4018590.98371582,5.99917762279378,53.0171065555803,0,59.0162841783741
21,4018584.09946446,6.59233260665198,59.308202932712,0,65.900535539364
22,4018576.53456951,7.24412019383551,66.2213102986229,0,73.4654304924584
23,4018568.22175459,7.96033318594264,73.8179122252136,0,81.7782454111563
24,4018559.08709745,8.74733609016269,82.165566464137,0,90.9129025542997
25,4018549.04937422,9.612121414971,91.3385043615656,0,100.950625776537
26,4018538.01933923,10.5623714828,101.418289284494,0,111.980660767294
27,4018525.89893387,11.6065262948597,112.494539839166,0,124.101066134025
28,4018512.58041774,12.7538580340355,124.665724222295,0,137.41958225633
29,4018497.94541449,14.014552847136,138.040032658984,0,152.05458550612
30,4018481.86386384,15.3998006080362,152.736335552233,0,168.136136160269
31,4018464.19287087,16.9218934288469,168.885235702791,0,185.807129131638
32,4018444.77544248,18.5943337575335,186.630223760411,0,205.224557517944
33,4018423.43910008,20.4319529778005,206.128946944137,0,226.560899921938
34,4018399.99435646,22.4510415109748,227.554602026501,0,250.005643537475
35,4018374.23304387,24.6694915104593,251.097464621013,0,275.766956131473
36,4018345.92647871,27.106953337504,276.966567951431,0,304.073521288935
37,4018314.82344736,29.7850071129331,305.391545522251,0,335.176552635185
38,4018280.64799579,32.727350753439,336.62465346087,0,369.352004214309
39,4018243.09700421,35.9600060234029,370.942989770889,0,406.902995794292
40,4018201.8375264,39.5115442641918,408.650929331803,0,448.162473595994
41,4018156.50387119,43.4133336026315,450.08279521136,0,493.496128813991
42,4018106.69440168,47.6998095889091,495.605788732182,0,543.305598321092
43,4018051.96802587,52.4087713713558,545.623202762324,0,598.03197413368
44,4017991.84034943,57.5817056810353,600.577944889,0,658.159650570035
45,4017925.77945943,63.2641410721789,660.956399493587,0,724.220540565766
46,4017853.20130467,69.5060350442598,727.292660281423,0,796.798695325683
47,4017773.46463561,76.3621968564532,800.173167537823,0,876.535364394276
48,4017685.86546368,83.8927490333864,880.241787286408,0,964.134536319795
49,4017589.63099663,92.1636307497788,968.20537261917,0,1060.36900336895
50,4017483.91300278,101.247146467276,1064.83985074858,0,1166.08699721585
51,4017367.78055383,111.222563374963,1170.99688279525,0,1282.21944617021
52,4017240.21209169,122.176761349836,1287.61114695956,0,1409.7879083094
53,4017100.08676134,134.204939287589,1415.70829936666,0,1549.91323865425
54,4016946.17494731,147.411381775675,1556.41367091021,0,1703.82505268589
55,4016777.12794511,161.910290303911,1710.96176458404,0,1872.87205488795
56,4016591.46670241,177.826682738687,1880.70661484606,0,2058.53329758475
57,4016387.56955054,195.297365388313,2067.13308407296,0,2262.43044946127
58,4016163.65885022,214.471981381388,2271.86916839627,0,2486.34114977766
59,4015917.78646867,235.514139030038,2496.6993922945,0,2732.21353132454
60,4015647.81800422,258.602623298288,2743.57937247676,0,3002.18199577505
61,4015351.41567125,283.932692965557,3014.65163578479,0,3298.58432875035
62,4015026.01975662,311.717465262195,3312.26277812133,0,3623.98024338352
63,4014668.82855926,342.189388636522,3638.98205210193,0,3981.17144073845
64,4014276.77672676,375.601802777157,3997.62147046358,0,4373.22327324073
65,4013846.51190406,412.23058329677,4391.25751264367,0,4803.48809594044
66,4013374.3696166,452.375866069117,4823.25451732844,0,5275.63038339756
67,4012856.34632189,496.363843200324,5297.28983490552,0,5793.65367810584
68,4012288.07057371,544.548619081105,5817.38080720623,0,6361.92942628733
69,4011664.77226254,597.314110479571,6387.91362697648,0,6985.22773745606
70,4010981.24992001,655.0759692281,7013.67411076405,0,7668.75007999215
71,4010231.83610598,718.283499563987,7699.88039445647,0,8418.16389402046
72,4009410.36093661,787.421534420128,8452.21752896855,0,9239.63906338868
