"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,1,0,0,0
11,1,0,0,0
12,1,0,0,0
13,9,0,0,8
14,13,0,0,4
15,16,0,0,3
16,26,0,0,10
17,26,0,0,0
18,33,0,0,7
19,40,0,0,7
20,40,0,0,0
21,48,0,0,8
22,54,0,0,6
23,61,0,0,7
24,72,0,0,11
25,85,0,0,13
26,97,0,0,12
27,120,0,0,23
28,139,2,2,19
29,153,5,3,14
30,166,6,1,13
31,194,6,0,28
32,209,6,0,15
33,227,6,0,18
34,273,6,0,46
35,300,7,1,27
36,349,8,1,49
37,383,9,1,34
38,430,14,5,47
39,463,17,3,33
40,557,18,1,94
41,734,21,3,177
42,935,28,7,201
43,952,28,0,17
44,1099,30,2,147
45,1195,34,4,96
46,1212,34,0,17
47,1313,34,0,101
48,1351,37,3,38
49,1453,43,6,102
50,1665,47,4,212
51,1711,52,5,46
52,1819,57,5,108
53,1944,63,6,125
54,2164,77,14,220
55,2538,84,7,374
56,2688,93,9,150
57,2913,101,8,225
58,3104,104,3,191
59,3208,115,11,104
60,3351,123,8,143
61,3540,133,10,189
62,3714,146,13,174
63,3988,157,11,274
64,4242,165,8,254
65,4412,172,7,170
66,4599,181,9,187
67,4819,196,15,220
