"time","S","I","R","D","I_"
1,7018351,3,0,0,3
2,7018348.7270617,3.19755065827635,1.97682668309484,0.098560954386827,5.27293829575802
3,7018346.30444991,3.40810933154998,4.0838285498042,0.203612204784046,7.69555008613823
4,7018343.72231103,3.63253228783035,6.32957563896078,0.315581037616768,10.2776889644079
5,7018340.97014007,3.87173238784191,8.72320455325141,0.434922987145214,13.0298599282385
6,7018338.0367416,4.12668247306184,11.274452398798,0.56212352763,15.9632583994899
7,7018334.91018409,4.39841933278974,13.993696524042,0.697700054640063,19.0898159114718
8,7018331.57774854,4.68804816311553,16.8919991907297,0.842204112266097,22.4222514661113
9,7018328.02587971,4.99674680028517,19.9811499884607,0.996223507832195,25.9741202965781
10,7018324.24013009,5.32577058558781,23.2737145801321,1.1603847422543,29.7598699079742
11,7018320.20510103,5.67645747779559,26.7830859324351,1.33535556429888,33.7948989745295
12,7018315.90438029,6.05023346621289,30.5235385640988,1.52184767530091,38.0956197056126
13,7018311.3204753,6.44861837251477,34.5102866966538,1.72061962845431,42.6795246976228
14,7018306.43474206,6.87323201263712,38.7595460204343,1.93247990835162,47.5652579414231
15,7018301.2273095,7.3258007628343,43.2885995196627,2.15829021290199,52.772690495399
16,7018295.67699877,7.80816456515083,48.1158677115224,2.39896895532264,58.3230012319959
17,7018289.76123711,8.32228439191305,53.260983497493,2.6554949960892,64.2387628854952
18,7018283.45596628,8.87025019658486,58.7448719030704,2.9289116186119,70.5440337182671
19,7018276.73554479,9.45428938607405,64.589835060023,3.2203307662952,77.2644552123922
20,7018269.57264382,10.0767758483251,70.8196427731228,3.53093755802884,84.4273561794768
21,7018261.93813629,10.7402395710836,77.4596290342464,3.86199510020405,92.0618637055341
22,7018253.80097862,11.4473768903592,84.5367948737089,4.21484961469251,100.199021378761
23,7018245.12808472,12.2010614095227,92.0799179633849,4.59093590345702,108.871915276365
24,7018235.88419178,13.0043556326276,100.119669413396,4.99178317182017,118.115808217844
25,7018226.03171717,13.8605233583328,108.68873823281,5.41902123384674,127.96828282499
26,7018215.53060604,14.7730428837682,117.821963955306,5.8743871248161,138.46939396389
27,7018204.33816882,15.745621070831,127.556477963242,6.35973214738132,149.661831181455
28,7018192.40890821,16.7822083307444,137.931854078139,6.87702937973432,161.591091788618
29,7018179.69433472,17.8870145862545,148.9902690223,7.42838167592839,174.305665284483
30,7018166.14277014,19.0645262746034,160.776673395414,8.016030190458,187.857229860476
31,7018151.69913823,20.3195244584056,173.338973851504,8.64236346126752,202.300861771178
32,7018136.30474159,21.6571041157842,186.728227205778,9.30992708756287,217.695258409125
33,7018119.89702402,23.0826946856042,200.998847247876,10.0214340411411,234.102975974622
34,7018102.40931731,24.6020819483881,216.20882508793,10.7797756524407,251.590682688759
35,7018083.77057144,26.2214313285253,232.419963914826,11.5880333151584,270.229428558509
36,7018063.90506723,27.9473127087067,249.698129102415,12.4494909560863,290.094932767208
37,7018042.73211017,29.7867268531418,268.113514659206,13.3676483198047,311.267889832153
38,7018020.16570425,31.7471335420648,287.74092708056,14.346235121033,333.834295743657
39,7017996.11420462,33.8364815263222,308.660087729839,15.3892261207986,357.88579537696
40,7017970.47994745,36.063240417467,330.955954946468,16.5008571861545,383.520052550089
41,7017943.15885581,38.43643463579,354.719067154725,17.6856423969553,410.84114418747
42,7017914.04001986,40.9656795460978,380.045908327589,18.9483922672136,439.959980140901
43,7017883.00524968,43.6612199188232,407.039297245215,20.2942331528145,470.994750316853
44,7017849.92859913,46.5339708622394,435.808802078035,21.7286279218693,504.071400862143
45,7017814.67585873,49.5955613801517,466.47118192022,23.2573979687638,539.324141269136
46,7017777.10401562,52.8583807184802,499.150857000612,24.8867466580137,576.895984377106
47,7017737.06067863,56.3356276736259,533.98040940551,26.6232842893849,616.939321368521
48,7017694.38346601,60.0413630454482,571.101116261198,28.4740546813963,659.616533988042
49,7017648.89935365,63.9905654280702,610.663517444026,30.4465634763047,705.100646348401
50,7017600.42398117,68.1991905425894,652.82802001265,32.548808275987,753.576018831226
51,7017548.76091326,72.6842343270842,697.765541690794,34.789310724812,805.23908674269
52,7017493.70085345,77.463800011096,745.658195870142,37.1771506626283,860.299146543866
53,7017435.02080735,82.5571694139952,796.700020751785,39.7220024784204,918.9791926442
54,7017372.48319207,87.9848787193239,851.097755401472,42.4341738030004,981.516807923796
55,7017305.83488866,93.7687989903032,909.071665658931,45.3246466873333,1048.16511133657
56,7017234.80623385,99.9322217051934,970.856423015054,48.4051214217417,1119.19376614199
57,7017159.10994748,106.499949605051,1036.70203975299,51.6880631603264,1194.89005251837
