"dia","infectados","mortos","mortosD","infectadosD"
1,3,0,0,3
2,3,0,0,0
3,4,0,0,1
4,4,0,0,0
5,9,0,0,5
6,10,0,0,1
7,12,0,0,2
8,15,0,0,3
9,18,0,0,3
10,20,0,0,2
11,21,0,0,1
12,23,0,0,2
13,29,0,0,6
14,35,0,0,6
15,39,1,1,4
16,49,1,0,10
17,56,1,0,7
18,58,1,0,2
19,61,1,0,3
20,65,1,0,4
21,73,1,0,8
22,73,1,0,0
23,88,2,1,15
24,103,2,0,15
25,115,3,1,12
26,119,5,2,4
27,133,5,0,14
28,159,7,2,26
29,179,7,0,20
30,191,8,1,12
31,209,10,2,18
32,229,14,4,20
33,233,15,1,4
34,284,15,0,51
35,304,15,0,20
36,318,16,1,14
37,335,16,0,17
38,378,18,2,43
39,393,18,0,15
40,403,19,1,10
41,421,19,0,18
42,438,21,2,17
43,453,23,2,15
44,486,24,1,33
45,506,25,1,20
46,573,25,0,67
47,616,26,1,43
48,661,27,1,45
49,705,27,0,44
50,781,29,2,76
51,808,29,0,27
52,825,30,1,17
53,850,30,0,25
54,861,30,0,11
55,922,38,8,61
56,1024,45,7,102
57,1027,44,-1,3
58,1053,49,5,26
59,1069,49,0,16
60,1093,49,0,24
61,1100,49,0,7
