"time","S","I","R","D","I_"
1,7075180,1,0,0,1
2,7075178.74741519,1.16986973228012,1.08271507413622,0,2.25258480641634
3,7075177.28205514,1.36859481203663,2.34935004972296,0,3.71794486175959
4,7075175.56777383,1.60107706122459,3.83114910774503,0,5.43222616896962
5,7075173.56229238,1.87304996079406,5.56465766128456,0,7.43770762207862
6,7075171.21614214,2.19122195431677,7.59263590447654,0,9.78385785879331
7,7075168.47145611,2.56344032667024,9.96510355969665,0,12.5285438863669
8,7075165.26053836,2.99888516892047,12.7405764723201,0,15.7394616412406
9,7075161.50419149,3.50829614153433,15.9875123698734,0,19.4958085114078
10,7075157.10977571,4.10423562127985,19.7859886713368,0,23.8902242926166
11,7075151.96890238,4.80140138041185,24.2296962349843,0,29.0310976153961
12,7075145.95478066,5.61698628257024,29.4282330527104,0,35.0452193352806
13,7075138.91908751,6.57110255177974,35.5098099331342,0,42.0809124849139
14,7075130.6883066,7.68727800256902,42.6244153959717,0,50.3116933985407
15,7075121.05945442,8.99303526527599,50.9475103110029,0,59.9405455762789
16,7075109.79507646,10.5205698696184,60.6843536687765,0,71.2049235383949
17,7075096.61739512,12.3075431654165,72.0750617089328,0,84.3826048743493
18,7075081.20146549,14.3980095414044,85.4005249664354,0,99.7985345078399
19,7075063.16716967,16.8435007849546,100.989329543506,0,117.832830328461
20,7075042.0698541,19.704293991872,119.225851908492,0,138.930145900364
21,7075017.38937986,23.0508940214347,140.559726112508,0,163.610620133942
22,7074988.51731776,26.9657666372401,165.516915601748,0,192.482682238989
23,7074954.74197475,31.5453644814118,194.712660762939,0,226.258025244351
24,7074915.2308859,36.9024950556423,228.866619040758,0,265.7691140964
25,7074869.01034444,43.1690880130158,268.820567545659,0,311.989655558674
26,7074814.9414715,50.4994285086823,315.559099985337,0,366.05852849402
27,7074751.69224385,59.0739343000977,370.233821850881,0,429.307756150979
28,7074677.70480142,69.1035669393795,434.19163164364,0,503.295198583019
29,7074591.15724459,80.8349820039562,509.007773403453,0,589.842755407409
30,7074489.91900092,94.5565401231218,596.524458955774,0,691.080999078896
31,7074371.49869066,110.605319853157,698.895989480473,0,809.50130933363
32,7074232.98324663,129.375295519224,818.641457848225,0,948.016753367449
33,7074070.96684315,151.326868263871,958.70628858291,0,1110.03315684678
34,7073881.46795852,176.997966987851,1122.53407448382,0,1299.53204147167
35,7073659.83263081,207.01696786227,1314.15040132068,0,1521.16736918295
36,7073400.621665,242.117716771005,1538.26061822348,0,1780.37833499449
37,7073097.47920646,283.15697840655,1800.3638151281,0,2083.52079353465
38,7072742.97970793,331.134678566451,2106.88561350236,0,2438.02029206881
39,7072328.4498823,387.217351919839,2465.33276577857,0,2852.55011769841
40,7071843.76175004,452.765255078291,2884.47299487717,0,3337.23824995546
41,7071277.0923586,529.363652444296,3374.5439889503,0,3903.9076413946
42,7070614.64517596,618.858827249086,3947.49599678983,0,4566.35482403891
43,7069840.32755017,723.399408251847,4617.27304157814,0,5340.67244982999
44,7068935.37799728,845.483627647861,5400.13837506772,0,6245.62200271558
45,7067877.93645714,988.013129099398,6315.05041376094,0,7303.06354286034
46,7066642.55008004,1154.35391422724,7384.09600573587,0,8538.44991996311
47,7065199.606636,1348.40493451285,8632.98842948835,0,9981.3933640012
48,7063514.6873567,1574.67468045616,10091.637962842,0,11666.3126432982
49,7061547.8310473,1838.36586039188,11794.8030923067,0,13633.1689526986
50,7059252.70180502,2145.46785731965,13782.8303376632,0,15928.2981949828
