"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,2,0,0,1
3,2,0,0,0
4,8,0,0,6
5,8,0,0,0
6,8,0,0,0
7,10,0,0,2
8,13,0,0,3
9,15,0,0,2
10,21,1,1,6
11,30,1,0,9
12,51,1,0,21
13,70,1,0,19
14,80,1,0,10
15,87,1,0,7
16,95,2,1,8
17,132,2,0,37
18,171,4,2,39
19,229,11,7,58
20,272,12,1,43
21,293,16,4,21
22,344,21,5,51
23,398,24,3,54
24,445,27,3,47
25,478,32,5,33
26,630,34,2,152
27,695,37,3,65
28,797,40,3,102
29,1040,44,4,243
30,1205,48,4,165
31,1320,54,6,115
32,1410,60,6,90
33,1604,66,6,194
34,1757,76,10,153
35,1951,88,12,194
36,2105,100,12,154
37,2223,112,12,118
38,2410,125,13,187
39,2528,145,20,118
40,2804,166,21,276
41,3190,184,18,386
42,3506,204,20,316
43,3805,224,20,299
44,4040,237,13,235
45,4227,249,12,187
46,4530,271,22,303
47,5028,291,20,498
48,5389,305,14,361
49,5909,330,25,520
50,6765,355,25,856
51,7599,379,24,834
52,8144,399,20,545
53,8526,423,24,382
