"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,2,0,0,1
6,2,0,0,0
7,4,0,0,2
8,4,0,0,0
9,6,0,0,2
10,14,0,0,8
11,19,0,0,5
12,29,0,0,10
13,38,0,0,9
14,54,0,0,16
15,83,0,0,29
16,128,0,0,45
17,130,0,0,2
18,133,0,0,3
19,153,0,0,20
20,189,0,0,36
21,205,0,0,16
22,231,0,0,26
23,261,1,1,30
24,275,2,1,14
25,314,3,1,39
26,370,4,1,56
27,397,6,2,27
28,430,6,0,33
29,498,6,0,68
30,525,9,3,27
31,559,11,2,34
32,614,14,3,55
33,655,15,1,41
34,698,17,2,43
35,750,17,0,52
36,806,20,3,56
37,815,23,3,9
38,884,27,4,69
39,903,30,3,19
40,958,33,3,55
41,1021,35,2,63
42,1077,39,4,56
43,1154,39,0,77
44,1189,41,2,35
45,1230,44,3,41
46,1283,47,3,53
47,1308,51,4,25
48,1419,54,3,111
49,1481,58,4,62
50,1548,61,3,67
51,1586,62,1,38
52,1649,71,9,63
53,1758,80,9,109
54,1827,82,2,69
55,1935,88,6,108
56,2023,88,0,88
57,2118,89,1,95
58,2347,90,1,229
59,2452,94,4,105
60,2605,97,3,153
61,2770,106,9,165
62,2943,111,5,173
63,3123,118,7,180
64,3237,119,1,114
65,3320,121,2,83
