"time","S","I","R","D","I_"
1,2778984,2,0,0,2
2,2778982.02172545,2.07381876287456,1.90445578481174,0,3.9782745476863
3,2778979.97043457,2.15036067816815,3.87920475390062,0,6.02956543206877
4,2778977.84343592,2.22972601539706,5.92683806493772,0,8.15656408033478
5,2778975.63793721,2.3120187938453,8.05004399438898,0,10.3620627882343
6,2778973.35104218,2.39734689717974,10.2516109259797,0,12.6489578231595
7,2778970.97974922,2.48582212333839,12.5344286611416,0,15.02025078448
8,2778968.52094575,2.57756039385903,14.9014938608786,0,17.4790542547376
9,2778965.9714046,2.67268188693415,17.3559135141644,0,20.0285954010986
10,2778963.32777967,2.77131119837067,19.9009091324735,0,22.6722203308441
11,2778960.58660162,2.87357750014049,22.5398208832713,0,25.4133983834118
12,2778957.74427347,2.9796147029151,25.2761118292515,0,28.2557265321666
13,2778954.7970658,3.08956163373844,28.1133725639424,0,31.2029341976809
14,2778951.74111192,3.20356221428442,31.0553258648947,0,34.2588880791791
15,2778948.57240281,3.32176564641448,34.1058315396232,0,37.4275971860376
16,2778945.28678194,3.44432660480375,37.2688914585846,0,40.7132180633884
17,2778941.8799398,3.57140543605962,40.548654760252,0,44.1200601963116
18,2778938.34740839,3.70316836512961,43.9494232495445,0,47.6525916146741
19,2778934.68455529,3.83978770921633,47.4756569956037,0,51.31544470482
20,2778930.88657777,3.98144209930935,51.1319801320875,0,55.1134222313969
21,2778926.94849642,4.12831670959718,54.9231868672201,0,59.0515035768173
22,2778922.86514879,4.28060349508741,58.8542477125888,0,63.1348512076762
23,2778918.63118262,4.4385014377095,62.930315938297,0,67.3688173760065
24,2778914.24104894,4.60221680116986,67.1567342619613,0,71.7589510631311
25,2778909.68899483,4.77196339487879,71.5390417804395,0,76.3110051753183
26,2778904.969056,4.9479628472479,76.0829811526281,0,81.030943999876
27,2778900.07504907,5.13044488868295,80.7945060424253,0,85.9249509311082
28,2778895.00056353,5.31964764459386,85.6797888309055,0,90.9994364754993
29,2778889.73895345,5.5158179387621,90.7452286072946,0,96.2610465460567
30,2778884.28332894,5.71921160741365,95.9974594486037,0,101.716671056017
31,2778878.62654718,5.93009382435553,101.443358998088,0,107.373452822443
32,2778872.76120321,6.14873943754442,107.090057353046,0,113.238796790591
33,2778866.67962041,6.37543331746688,112.944946272839,0,119.320379590306
34,2778860.37384057,6.61047071772111,119.015688718329,0,125.62615943605
35,2778853.83561362,6.85415764820161,125.310228734367,0,132.164386382568
36,2778847.05638705,7.10681126129882,131.836801687274,0,138.943612948573
37,2778840.02729488,7.36876025153744,138.603944869713,0,145.972705121251
38,2778832.73914625,7.64034526908834,145.62050848569,0,153.260853754778
39,2778825.18241362,7.92191934760069,152.895667028891,0,160.817586376492
40,2778817.34722059,8.21384834681229,160.438931067945,0,168.652779414757
41,2778809.22332914,8.51651141040809,168.260159452649,0,176.776670863057
42,2778800.80012661,8.83030143960828,176.369571955652,0,185.19987339526
43,2778792.06661205,9.15562558297956,184.77776236451,0,193.93338794749
44,2778783.01138222,9.49290574297441,193.495712039552,0,202.988617782527
45,2778773.62261695,9.84257909971532,202.534803953406,0,212.377383053121
46,2778763.88806412,10.2050986525525,211.906837228574,0,222.111935881126
47,2778753.79502403,10.5809337799349,221.624042189933,0,232.204975969867
48,2778743.33033323,10.9705708181462,231.699095949524,0,242.66966676767
49,2778732.4803478,11.3745136594682,242.145138541548,0,253.519652201016
50,2778721.23092601,11.7932843703447,252.975789625993,0,264.769073996338
51,2778709.56741039,12.2274238301315,264.205165779875,0,276.432589610007
52,2778697.47460922,12.6774923910245,275.847898395606,0,288.525390786631
53,2778684.93677724,13.1440705597726,287.919152206591,0,301.063222766363
54,2778671.93759584,13.6277597017871,300.434644460695,0,314.062404162482
55,2778658.46015247,14.129182768271,313.410664762824,0,327.539847531095
56,2778644.48691935,14.6489850469976,326.864095608435,0,341.513080655432
57,2778629.99973144,15.1878349373762,340.812433630379,0,356.000268567755
58,2778614.97976367,15.7464247504492,355.273811582108,0,371.020236332557
59,2778599.40750739,16.3254715344695,370.267021080836,0,386.592492615306
60,2778583.26274594,16.9257179267109,385.811536134903,0,402.737254061614
61,2778566.52452949,17.5479330321703,401.92753748016,0,419.47547051233
62,2778549.17114892,18.1929133298172,418.635937750837,0,436.828851080655
63,2778531.18010889,18.8614836070511,435.958407510968,0,454.819891118019
64,2778512.52809991,19.5544979230213,453.917402173033,0,473.471900096055
