"dia","infectados","mortos","mortosD","infectadosD"
1,2,0,0,2
2,2,0,0,0
3,4,0,0,2
4,6,0,0,2
5,7,0,0,1
6,9,0,0,2
7,12,0,0,3
8,16,0,0,4
9,21,0,0,5
10,21,0,0,0
11,24,0,0,3
12,24,0,0,0
13,25,0,0,1
14,28,0,0,3
15,31,0,0,3
16,36,0,0,5
17,44,0,0,8
18,48,1,1,4
19,51,1,0,3
20,53,1,0,2
21,60,1,0,7
22,62,1,0,2
23,65,1,0,3
24,66,1,0,1
25,80,2,1,14
26,85,2,0,5
27,89,2,0,4
28,97,2,0,8
29,100,2,0,3
30,101,2,0,1
31,113,4,2,12
32,115,4,0,2
33,121,4,0,6
34,131,5,1,10
35,143,5,0,12
36,161,5,0,18
37,168,5,0,7
38,171,5,0,3
39,173,6,1,2
40,175,6,0,2
41,186,7,1,11
42,213,7,0,27
43,217,7,0,4
44,234,7,0,17
45,238,9,2,4
46,240,9,0,2
47,249,9,0,9
48,255,9,0,6
49,261,9,0,6
50,266,9,0,5
51,272,10,1,6
52,274,10,0,2
53,283,10,0,9
54,288,10,0,5
55,311,10,0,23
56,326,11,1,15
57,346,11,0,20
58,362,11,0,16
59,385,11,0,23
