"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,2,0,0,1
3,2,0,0,0
4,6,0,0,4
5,7,0,0,1
6,9,0,0,2
7,11,0,0,2
8,11,0,0,0
9,13,0,0,2
10,16,0,0,3
11,18,0,0,2
12,25,0,0,7
13,28,0,0,3
14,41,0,0,13
15,44,1,1,3
16,60,1,0,16
17,60,1,0,0
18,76,1,0,16
19,78,1,0,2
20,90,1,0,12
21,108,2,1,18
22,112,2,0,4
23,121,3,1,9
24,123,3,0,2
25,134,4,1,11
26,138,4,0,4
27,151,4,0,13
28,156,5,1,5
29,162,5,0,6
30,171,5,0,9
31,174,5,0,3
32,181,6,1,7
33,181,6,0,0
34,205,6,0,24
35,221,7,1,16
36,241,8,1,20
37,247,9,1,6
38,250,9,0,3
39,257,10,1,7
40,263,11,1,6
41,292,11,0,29
42,302,11,0,10
43,320,11,0,18
44,333,12,1,13
45,337,12,0,4
46,344,13,1,7
47,366,13,0,22
48,385,13,0,19
49,419,14,1,34
50,464,15,1,45
51,502,16,1,38
52,519,18,2,17
53,545,19,1,26
