"time","S","I","R","D","I_"
1,8602864,1,0,0,1
2,8602861.71111053,1.12070197899498,1.97493215044372,0.19325533596526,3.28888946540396
3,8602859.1459491,1.25597215976551,4.1882418279803,0.409836905732805,5.85405089347862
4,8602856.27117023,1.40756871997552,6.66870088905516,0.652560155282616,8.7288297643133
5,8602853.04940469,1.57746194884078,9.44855308496999,0.924580269965839,11.9505953037766
6,8602849.43877994,1.76785951655913,12.5639278740212,1.22943266774594,15.5612200583262
7,8602845.39235887,1.98123604324497,16.0553246927365,1.57108038715609,19.6076411231375
8,8602840.85754858,2.22036424686663,19.9681231573941,1.9539640126426,24.1424514169033
9,8602835.77540868,2.4883513739862,24.3531798695984,2.3830600744761,29.2245913180607
10,8602830.0798873,2.78867943796243,29.2674876991633,2.86394556232736,34.9201126994531
11,8602823.69696347,3.12525037705126,34.7749158056389,3.40287033945569,41.3030365221458
12,8602816.54368435,3.50243674379898,40.9470404619897,4.00683844226599,48.4563156480547
13,8602808.52709035,3.92513827936562,47.8640725327579,4.68369883790968,56.4729096500332
14,8602799.54300928,4.39884537376163,55.6158980919076,5.44224725307472,65.456990718744
15,8602789.4747035,4.92971023967528,64.3032458433315,6.2923404109441,75.5252964939509
16,8602778.19135576,5.52462655181231,74.0389937929646,7.24502389450413,86.808644239281
17,8602765.54637274,6.19131864246008,84.9496332112026,8.31267540136409,99.4536272550268
18,8602751.37548451,6.93844139717978,97.176908841576,9.50916524500593,113.624515483762
19,8602735.49461549,7.77569210925064,110.879656249222,10.8500361469843,129.505384505457
20,8602717.69749964,8.71393571758147,126.235859997329,12.3527046380638,147.302500352975
21,8602697.75300931,9.76534501103274,143.44495902503,14.036686649046,167.246990685108
22,8602675.4021635,10.9435575671025,162.730428748303,15.9238501800978,189.597836495503
23,8602650.35477742,12.2638513971821,184.342672899291,18.0386982792713,214.645222575745
24,8602622.28571057,13.7433414955321,208.562261990427,20.4086859397063,242.714289425666
25,8602590.83066569,15.4011997392246,235.703559620871,23.0645749488178,274.169334308913
26,8602555.58148528,17.2589008622766,266.118782658116,26.0408311939757,309.418514714369
27,8602516.08088633,19.3404975315703,300.20254668378,29.3760694533054,348.919113668656
28,8602471.81656678,21.6729278871655,338.396954045556,33.1135512827625,393.183433215484
29,8602422.21461,24.2863592772844,381.197288464403,37.301742257162,442.785389998849
30,8602366.63210467,27.2145723206363,429.158387470878,41.9949355396133,498.367895331128
31,8602304.34888853,30.4953898675912,482.901772053446,47.2539495473,560.651111468338
32,8602234.55831387,34.1711559083594,543.12362186375,53.1469083585305,630.44168613064
33,8602156.35692132,38.2892699915555,610.603694210639,59.7501144734485,708.643078675643
34,8602068.73289616,42.9027832702286,686.21529595819,67.1490246057846,796.267103834203
35,8601970.55316737,48.0710628833652,770.936429393798,75.4393403524686,894.446832629632
36,8601860.54899491,53.8605320061472,865.86224621768,84.7282268683697,1004.4510050922
37,8601737.29987429,60.3454935568679,972.218958084575,95.1356740707351,1127.70012571218
38,8601599.21556971,67.6090462245404,1091.37936764999,106.796016416748,1265.78443029128
39,8601444.51606802,75.7441021673639,1224.88020086699,119.859628940954,1420.48393197531
40,8601271.20922523,84.8545164120757,1374.44143934968,134.494819007539,1593.79077476929
41,8601077.06585531,95.0563386354408,1541.98787093446,150.889935122502,1787.93414469241
42,8600859.59198819,106.479198601606,1729.67309705028,169.255716154817,2005.4080118067
43,8600615.99799955,119.267837022855,1939.90625700844,189.827906419492,2249.00200045079
44,8600343.16429017,133.583793954251,2175.38175161184,212.870164256523,2521.83570982261
45,8600037.60317095,149.60726685488,2439.11226849606,238.677293698059,2827.396829049
46,8599695.41656948,167.539150762943,2734.46544743578,267.578832321337,3169.58343052006
47,8599312.24917707,187.603271586286,3065.20452303353,299.943028305043,3552.75082292486
48,8598883.2366177,210.048822828936,3435.53331641117,336.181243053699,3981.7633822938
49,8598402.94819765,235.15301449226,3850.1459699112,376.75281794532,4462.05180234878
50,8597865.32379239,263.223939643981,4314.28182373048,422.170444238564,4999.67620761302
51,8597263.60442068,294.603660301099,4833.7858429142,473.006076105764,5601.39557932107
52,8596590.25606684,329.67150858697,5415.17499829171,529.897426283944,6274.74393316263
53,8595836.88633029,368.847591767684,6065.71099506958,593.555082870555,7028.11366970782
54,8594994.15352401,412.596480173343,6793.47971294518,664.770282869428,7870.84647598795
55,8594051.66791745,461.431043962302,7607.47766594208,744.423372645757,8813.33208255014
56,8592997.88491887,515.916388391143,8517.70571467699,833.492978061692,9867.11508112983
57,8591819.99012619,576.673816774895,9535.27016010761,933.065896920609,11045.0098738031
58,8590503.77638694,644.384724736216,10672.4911785343,1044.34770978361,12361.2236130541
59,8589033.51326208,719.794297674045,11943.0183548639,1168.67408538056,13831.4867379185
60,8587391.80962409,803.714844725813,13361.9528007969,1307.52273038331,15473.190375906
61,8585559.47055599,897.028556257321,14945.9749892148,1462.52589853284,17305.529444005
