"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,1,0,0,0
3,2,0,0,1
4,2,0,0,0
5,4,0,0,2
6,5,0,0,1
7,5,0,0,0
8,7,0,0,2
9,13,0,0,6
10,16,0,0,3
11,18,0,0,2
12,20,0,0,2
13,26,0,0,6
14,34,0,0,8
15,41,1,1,7
16,49,1,0,8
17,75,1,0,26
18,82,1,0,7
19,86,1,0,4
20,123,5,4,37
21,154,5,0,31
22,167,6,1,13
23,169,7,1,2
24,217,9,2,48
25,237,11,2,20
26,259,14,3,22
27,310,15,1,51
28,384,21,6,74
29,487,21,0,103
30,557,26,5,70
31,627,32,6,70
32,641,33,1,14
33,685,34,1,44
34,902,35,1,217
35,1026,38,3,124
36,1195,43,5,169
37,1267,53,10,72
38,1579,86,33,312
39,1745,95,9,166
40,2070,114,19,325
41,2219,122,8,149
42,2319,132,10,100
43,2586,156,24,267
44,2999,224,68,413
45,3359,263,39,360
46,3727,306,43,368
47,3920,317,11,193
48,4262,344,27,342
49,4756,375,31,494
50,5524,410,35,768
51,5935,488,78,411
52,6519,574,86,584
53,7018,610,36,499
54,7348,672,62,330
55,8069,812,140,721
