"time","S","I","R","D","I_"
1,4018126,1,0,0,1
2,4018125.30095055,1.12623129494079,0.515949538217664,0.0568686122813962,1.69904944543985
3,4018124.51365989,1.26839668371924,1.09702764449653,0.120915777911846,2.48634010612762
4,4018123.62698882,1.42850758701438,1.75145590305183,0.193047690327804,3.37301118039402
5,4018122.62839218,1.60882929128635,2.48849360502093,0.274284920338406,4.37160781664569
6,4018121.50374137,1.81191300077027,3.31856877639331,0.365776858190038,5.49625863535361
7,4018120.23712845,2.04063119289682,4.25342271322808,0.468817644421279,6.76287155054619
8,4018118.81062962,2.29822033753253,5.30628462447829,0.584865419216414,8.18937038122723
9,4018117.20406417,2.58832440318593,6.49204949775319,0.715561926995285,9.79593582793441
10,4018115.39470333,2.91504742960739,7.82749303635279,0.862756207045745,11.6052966730059
11,4018113.35694906,3.2830115082417,9.3315087140143,1.02853072199839,13.6430509442544
12,4018111.06197316,3.69742193890781,11.0253741801349,1.21523072134798,15.9380268403907
13,4018108.4773076,4.16414118398031,12.9330536482807,1.4254975710983,18.5226924033593
14,4018105.56638648,4.68977154341459,15.0815359589327,1.66230601546668,21.433613517814
15,4018102.28802946,5.28174840970489,17.5012159250238,1.92900620927254,24.7119705440012
16,4018098.59585877,5.94844548146901,20.2263246058434,2.22937114327277,28.4041412305852
17,4018094.43764338,6.6992931456687,23.2954134678597,2.56765000898139,32.5623566225098
18,4018089.75456051,7.54491174570678,26.7518994681661,2.94862827845815,37.2454394923311
19,4018084.48036396,8.49726167118115,30.6446789942169,3.37769537352462,42.5196360389227
20,4018078.54044756,9.56981235717323,35.0288192207073,3.86092086799608,48.4595524458766
21,4018071.85079047,10.7777325750303,39.9663366537727,4.40514029981031,55.1492095286133
22,4018064.31676966,12.1381046915425,45.5270738474227,5.01805180382451,62.6832303427897
23,4018055.83182252,13.6701659058988,51.7896866477812,5.70832492712721,71.1681774808071
24,4018046.2759411,15.3955798528564,58.8427558848342,6.48572316111226,80.7240588988029
25,4018035.51397653,17.3387423820166,66.7860391728218,7.36124191650514,91.4860234713435
26,4018023.39372987,19.5271257980124,75.7318804453798,8.34726388411352,103.606270127506
27,4018009.74380259,21.9916663796375,85.806797061226,9.45773396762824,117.256197408492
28,4017994.37117636,24.7672005940551,97.1532667991851,10.7083562484808,132.628823641721
29,4017977.05848831,27.8929560933663,109.931739853133,12.116815750477,149.941511696976
30,4017957.56096348,31.4131043332496,124.322904074491,13.703028117697,169.439036525438
31,4017935.60296156,35.3773824965113,140.530235234178,15.489420707601,191.39703843829
32,4017910.87408958,39.8417933485398,158.782868034014,17.5012490375465,216.125910420101
33,4017883.02482624,44.8693927081121,179.338828041222,19.7669530127066,243.975173762041
34,4017851.66159698,50.5311753981181,202.488669706365,22.3185579130202,275.338403017503
35,4017816.34123119,56.907071859946,228.559571218673,25.1921257333377,310.658768811957
36,4017776.56472453,64.087069087011,257.919943223727,28.4282631621274,350.435275472866
37,4017731.77022012,72.1724711727325,290.984615454752,32.0726932585535,395.229779886038
38,4017681.32511146,81.2773165926936,328.220673196061,36.1768987548763,445.674888543631
39,4017624.51715846,91.5299713670824,370.154024299201,40.7988458812988,502.482841547582
40,4017560.5444945,103.074919495786,417.376787311721,46.0037986948864,566.455505502393
41,4017488.50438809,116.074774542924,470.555602266348,51.8652351052878,638.49561191456
42,4017407.38060594,130.712538988185,530.440977934945,58.4658771409174,719.619394064048
43,4017316.02920652,147.194140976237,597.877803005511,65.8988495042117,810.97079348596
44,4017213.16257264,165.751281398043,673.817163828394,74.2689821386007,913.837427365038
45,4017097.33146953,186.64462784136,759.329628243155,83.6942743887473,1029.66853047326
46,4016966.90489006,210.167395859615,855.620173688395,94.3075403957408,1160.09510994375
47,4016820.04742166,236.649362229208,964.044958463751,106.258257646857,1306.95257833982
48,4016654.6938397,266.461359385917,1086.1301578044,119.714643111575,1472.30616030189
49,4016468.52059933,300.020305028577,1223.59311148465,134.865984157257,1658.47940067048
50,4016258.91386252,337.794825911459,1378.36605711392,151.925254463121,1868.0861374885
51,4016022.93365828,380.311540050037,1552.62275322505,171.132048450792,2104.06634172588
