"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,1,0,0,0
6,2,0,0,1
7,3,0,0,1
8,5,0,0,2
9,6,0,0,1
10,10,0,0,4
11,14,0,0,4
12,14,0,0,0
13,17,0,0,3
14,18,1,1,1
15,21,1,0,3
16,29,1,0,8
17,32,1,0,3
18,34,3,2,2
19,35,4,1,1
20,36,4,0,1
21,41,4,0,5
22,55,7,3,14
23,79,11,4,24
24,85,11,0,6
25,101,13,2,16
26,111,13,0,10
27,136,16,3,25
28,152,21,5,16
29,165,24,3,13
30,195,26,2,30
31,205,28,2,10
32,236,29,1,31
33,245,32,3,9
34,263,33,1,18
35,301,39,6,38
36,345,40,1,44
37,386,44,4,41
38,447,46,2,61
39,499,49,3,52
40,543,50,1,44
41,633,53,3,90
42,698,57,4,65
43,814,62,5,116
44,926,67,5,112
45,1034,74,7,108
46,1169,76,2,135
47,1219,79,3,50
48,1361,85,6,142
49,1493,92,7,132
50,1657,101,9,164
51,1849,111,10,192
52,2031,114,3,182
53,2156,124,10,125
54,2341,135,11,185
55,2525,139,4,184
