"time","S","I","R","D","I_"
1,9557069,2,0,0,2
2,9557067.00000089,1.99999942464634,0.999999843048049,0.999999843048049,3.99999911074243
3,9557065.00000298,1.99999843075551,1.99999929378504,1.99999929378504,5.99999701832559
4,9557063.00000669,1.99999701832811,2.99999814294248,2.99999814294248,7.99999330421307
5,9557061.00001239,1.99999518736523,3.9999962074106,3.9999962074106,9.99998760218643
6,9557059.00002057,1.99999293786868,4.99999324304463,4.99999324304463,11.9999794239579
7,9557057.00003163,1.99999026984037,5.9999890492973,5.9999890492973,13.999968368435
8,9557055.00004598,1.99998718328263,6.99998341690338,6.99998341690338,15.9999540170894
9,9557053.00006405,1.99998367819813,7.99997613659881,7.99997613659881,17.9999359513958
10,9557051.00008624,1.9999797545899,8.99996699912096,8.99996699912096,19.9999137528318
11,9557049.00011299,1.99997541246129,9.99995579520878,9.99995579520878,21.9998870028789
12,9557047.00014471,1.99997065181605,10.999942315603,10.999942315603,23.9998552830221
13,9557045.00018182,1.99996547265823,11.9999263510463,11.9999263510463,25.9998181747509
14,9557043.00022474,1.99995987499226,12.9999076922836,12.9999076922836,27.9997752595594
15,9557041.00027388,1.99995385882292,13.9998861300618,13.9998861300618,29.9997261189466
16,9557039.00032966,1.99994742415533,14.9998614551307,14.9998614551307,31.9996703344167
17,9557037.00039251,1.99994057099496,15.9998334582423,15.9998334582423,33.9996074874796
18,9557035.00046284,1.99993329934763,16.9998019301519,16.9998019301519,35.9995371596514
19,9557033.00054106,1.99992560921953,17.9997666616174,17.9997666616174,37.9994589324543
20,9557031.00062761,1.99991750061717,18.9997274434,18.9997274434,39.9993723874172
21,9557029.00072289,1.99990897354742,19.9996840662644,19.9996840662644,41.9992771060762
22,9557027.00082733,1.99990002801752,20.9996363209786,20.9996363209786,43.9991726699748
23,9557025.00094134,1.99989066403504,21.9995839983145,21.9995839983145,45.9990586606641
24,9557023.00106534,1.99988088160791,22.9995268890477,22.9995268890477,47.9989346597033
25,9557021.00119975,1.99987068074439,23.999464783958,23.999464783958,49.9988002486604
26,9557019.00134499,1.99986006145312,24.9993974738293,24.9993974738293,51.9986550091117
27,9557017.00150147,1.99984902374307,25.9993247494499,25.9993247494499,53.9984985226429
28,9557015.00166963,1.99983756762357,26.9992464016129,26.9992464016129,55.9983303708493
29,9557013.00184986,1.99982569310429,27.9991622211158,27.9991622211158,57.9981501353358
30,9557011.0020426,1.99981340019526,28.9990719987613,28.9990719987613,59.9979573977178
31,9557009.00224826,1.99980068890685,29.9989755253571,29.9989755253571,61.997751739621
32,9557007.00246725,1.9997875592498,30.9988725917161,30.9988725917161,63.9975327426821
33,9557005.00270001,1.99977401123518,31.9987629886569,31.9987629886569,65.997299988549
34,9557003.00294694,1.9997600448744,32.9986465070035,32.9986465070035,67.9970530588813
35,9557001.00320846,1.99974566017926,33.9985229375856,33.9985229375856,69.9967915353505
36,9556999.003485,1.99973085716188,34.9983920712393,34.9983920712393,71.9965149996404
37,9556997.00377696,1.99971563583473,35.9982536988063,35.9982536988063,73.9962230334474
38,9556995.00408478,1.99969999621064,36.9981076111352,36.9981076111352,75.9959152184809
39,9556993.00440886,1.99968393830278,37.9979535990805,37.9979535990805,77.9955911364639
40,9556991.00474962,1.99966746212469,38.997791453504,38.997791453504,79.9952503691327
41,9556989.0051075,1.99965056769023,39.9976209652738,39.9976209652738,81.9948924982379
42,9556987.00548289,1.99963325501364,40.9974419252654,40.9974419252654,83.9945171055445
43,9556985.00587622,1.99961552410948,41.9972541243614,41.9972541243614,85.9941237728322
44,9556983.00628791,1.99959737499269,42.9970573534515,42.9970573534515,87.9937120818958
45,9556981.00671838,1.99957880767854,43.9968514034335,43.9968514034335,89.9932816145455
46,9556979.00716804,1.99955982218265,44.9966360652123,44.9966360652123,91.9928319526074
47,9556977.00763732,1.99954041852101,45.9964111297013,45.9964111297013,93.9923626779236
48,9556975.00812662,1.99952059670992,46.9961763878216,46.9961763878216,95.991873372353
49,9556973.00863637,1.99950035676607,47.9959316305025,47.9959316305025,97.991363617771
50,9556971.009167,1.99947969870648,48.995676648682,48.995676648682,99.9908329960705
51,9556969.0097189,1.99945862254853,49.9954112333065,49.9954112333065,101.990281089162
52,9556967.01029251,1.99943712830993,50.9951351753313,50.9951351753313,103.989707478973
53,9556965.01088824,1.99941521600876,51.9948482657205,51.9948482657205,105.98911174745
54,9556963.01150652,1.99939288566344,52.9945502954475,52.9945502954475,107.988493476559
55,9556961.01214775,1.99937013729274,53.9942410554949,53.9942410554949,109.987852248283
56,9556959.01281235,1.99934697091578,54.9939203368547,54.9939203368547,111.987187644625
57,9556957.01350074,1.99932338655204,55.9935879305286,55.9935879305286,113.986499247609
58,9556955.01421335,1.99929938422132,56.9932436275283,56.9932436275283,115.985786639278
