"dia","infectados","mortos","mortosD","infectadosD"
1,2,0,0,2
2,2,0,0,0
3,7,0,0,5
4,8,0,0,1
5,8,0,0,0
6,18,0,0,10
7,19,0,0,1
8,28,0,0,9
9,30,0,0,2
10,33,0,0,3
11,37,0,0,4
12,42,0,0,5
13,42,0,0,0
14,46,1,1,4
15,48,3,2,2
16,57,4,1,9
17,68,5,1,11
18,73,5,0,5
19,78,6,1,5
20,87,6,0,9
21,95,8,2,8
22,106,9,1,11
23,136,10,1,30
24,176,14,4,40
25,201,21,7,25
26,223,30,9,22
27,352,34,4,129
28,401,46,12,49
29,555,56,10,154
30,684,65,9,129
31,816,72,7,132
32,960,85,13,144
33,1154,102,17,194
34,1284,115,13,130
35,1484,143,28,200
36,1683,160,17,199
37,2006,186,26,323
38,2193,205,19,187
39,2459,216,11,266
40,2690,234,18,231
41,2908,260,26,218
42,3298,282,22,390
43,3605,312,30,307
44,3999,352,40,394
45,4507,381,29,508
46,4898,415,34,391
47,5358,450,35,460
48,5724,508,58,366
49,6194,538,30,470
50,6876,565,27,682
51,7334,603,38,458
52,8145,628,25,811
53,8643,652,24,498
54,8863,691,39,220
55,9325,749,58,462
56,9881,803,54,556
57,10824,845,42,943
58,11587,927,82,763
59,12470,972,45,883
60,13275,1047,75,805
61,13768,1087,40,493
