"time","S","I","R","D","I_"
1,3273224,3,0,0,3
2,3273223.55903972,3.39255842369198,0.0484018582269202,0,3.4409602819189
3,3273223.0603743,3.83648798668747,0.10313770884074,0,3.93962569552821
4,3273222.49645994,4.33850445934015,0.165035599750427,0,4.50354005909057
5,3273221.85875777,4.90620942910611,0.235032799934648,0,5.14124222904075
6,3273221.1376078,5.54820255876763,0.314189641052714,0,5.86239219982034
7,3273220.32209371,6.2742019373616,0.403704356959369,0,6.67790629432097
8,3273219.39986732,7.09520032871889,0.504932349494553,0,7.60013267821345
9,3273218.35696864,8.02362541628533,0.61940594713502,0,8.64303136342035
10,3273217.17760196,9.07353906182146,0.748858974269407,0,9.82239803609087
11,3273215.84391216,10.260836524956,0.895251315814683,0,11.1560878407707
12,3273214.33570626,11.6034942693842,1.06079947291361,0,12.6642937422978
13,3273212.63014851,13.1218414478907,1.24801003859461,0,14.3698514864853
14,3273210.70141614,14.8388663765658,1.45971748810062,0,16.2985838646664
15,3273208.52030615,16.780566520846,1.69912733490724,0,18.4796938557532
16,3273206.0537944,18.9763410649696,1.9698645380822,0,20.9462056030518
17,3273203.26453635,21.4594353470522,2.27602830577441,0,23.7354636528266
18,3273200.11030107,24.2674447077015,2.62225422580864,0,26.8896989335101
19,3273196.54333181,27.4428837338468,3.0137844613214,0,30.4566681951682
20,3273192.50962318,31.0338297258647,3.45654710045962,0,34.4903768263243
21,3273187.94810361,35.0946504865639,3.95724590596979,0,39.0518963925337
22,3273182.78971091,39.6868272912712,4.52346180447908,0,44.2102890957503
23,3273176.95634685,44.879885502581,5.16376765332585,0,50.0436531559069
24,3273170.35969507,50.7524469092696,5.88785802235221,0,56.6403049316218
25,3273162.89988436,57.3934196891569,6.70669595290854,0,64.1001156420654
26,3273154.46397709,64.9033439913725,7.63267891522401,0,72.5360229065965
27,3273144.92426005,73.39591347424,8.6798264745623,0,82.0757399488023
28,3273134.13631171,82.9996957894334,9.86399250470525,0,92.8636882941386
29,3273121.93681684,93.8600780036328,11.2031051583413,0,105.063183161974
30,3273108.14109544,106.141466337223,12.7174382230763,0,118.858904560299
31,3273092.54030861,120.029773429265,14.4299179657245,0,134.459691394989
32,3273074.89829923,135.735230664276,16.3664701031992,0,152.101700767475
33,3273054.94801987,153.495567983339,18.5564121437343,0,172.051980127073
34,3273032.38749385,173.579609121765,21.0328970263941,0,194.612506148159
35,3273006.87524879,196.291336448757,23.8334147600396,0,220.124751208797
36,3272978.02515374,221.974486622085,27.0003596366162,0,248.974846258701
37,3272945.40058221,251.017746215046,30.5816715807733,0,281.599417795819
38,3272908.50781325,283.860625438376,34.6315613130023,0,318.492186751378
39,3272866.78857154,321.000098194968,39.211330263149,0,360.211428458117
40,3272819.61159429,362.99810811415,44.3902975938007,0,407.38840570795
41,3272766.26309863,410.490053075807,50.2468482994959,0,460.736901375303
42,3272705.93600661,464.194375232599,56.8696181613425,0,521.063993393941
43,3272637.71776675,524.923399871107,64.3588333837327,0,589.282233254839
44,3272560.57659011,593.595584842784,72.8278250498848,0,666.423409892669
45,3272473.34589587,671.249362990065,82.4047411389634,0,753.654104129029
46,3272374.70673495,759.058783265195,93.2344817865043,0,852.2932650517
47,3272263.16793083,858.351182390477,105.480886783132,0,963.832069173609
48,3272137.04364369,970.627148269279,119.329208040227,0,1089.95635630951
49,3271994.42802676,1097.58306928845,134.988903956631,0,1232.57197324509
50,3271833.1666021,1241.13660054695,152.696797354775,0,1393.83339790173
