"dia","infectados","mortos","mortosD","infectadosD"
1,3,0,0,3
2,4,0,0,1
3,4,0,0,0
4,6,0,0,2
5,6,0,0,0
6,8,0,0,2
7,9,0,0,1
8,9,0,0,0
9,10,1,1,1
10,11,1,0,1
11,14,1,0,3
12,18,4,3,4
13,18,4,0,0
14,19,4,0,1
15,19,4,0,0
16,22,4,0,3
17,24,4,0,2
18,24,4,0,0
19,26,4,0,2
20,31,5,1,5
21,38,6,1,7
22,40,7,1,2
23,41,7,0,1
24,44,7,0,3
25,51,7,0,7
26,58,8,1,7
27,75,8,0,17
28,91,8,0,16
29,102,8,0,11
30,123,9,1,21
31,144,10,1,21
32,158,12,2,14
33,186,14,2,28
34,206,15,1,20
35,217,15,0,11
36,256,16,1,39
37,297,17,1,41
38,331,18,1,34
39,364,20,2,33
40,408,21,1,44
41,454,24,3,46
42,513,24,0,59
43,600,24,0,87
44,665,26,2,65
45,742,28,2,77
46,784,28,0,42
47,875,29,1,91
48,949,30,1,74
49,1051,35,5,102
50,1131,37,2,80
51,1233,38,1,102
52,1278,42,4,45
53,1332,45,3,54
54,1443,49,4,111
