"time","S","I","R","D","I_"
1,11433951,6,0,0,6
2,11433944.0982707,6.28555400289109,6.14166930864228,0.474506024804081,12.9017293363374
3,11433936.8680765,6.58469371396156,12.5756348847918,0.971594890362021,20.1319234891154
4,11433929.2937942,6.89806491574894,19.315800095001,1.49234077225422,27.7062057830042
5,11433921.3590531,7.22634424039728,26.3767333977901,2.03786923113731,35.6409468693247
6,11433913.0467063,7.57024036279611,33.7736941607045,2.6093592073728,43.9532937308734
7,11433904.3387918,7.93049558474366,41.5226669124188,3.20804566734828,52.6612081645107
8,11433895.2164933,8.30788747879776,49.64039690482,3.83522235100771,61.7835067346254
9,11433885.6601,8.70323050282596,58.1444250504661,4.49224447112323,71.3399000244152
10,11433875.6489651,9.11737774015826,67.0531255893402,5.18053162343258,81.351034952931
11,11433865.1614603,9.55122274526109,76.3857460513953,5.90157087414957,91.8385396708059
12,11433854.1749301,10.0057014494619,86.1624485339646,6.65691994906121,102.825069932488
13,11433842.6656421,10.4817941641864,96.4043531068905,7.44821058701257,114.334357858089
14,11433830.608737,10.980527676547,107.133583235031,8.27715204925445,126.391262960832
15,11433817.9781745,11.502977440975,118.373313300753,9.14553479103641,139.021825532765
16,11433804.7466774,12.0502698754233,130.147818414365,10.0552343099658,152.253322599754
17,11433790.8856735,12.6235847653876,142.482526585684,11.008215176789,166.114326527861
18,11433776.3652336,13.2241577794295,155.404073339687,12.0065352550019,180.634766374118
19,11433761.1540079,13.8532831018474,168.940358902349,13.0523501190346,195.84599212323
20,11433745.219158,14.5123161882585,183.120608085791,14.1479176809837,211.780841955033
21,11433728.5262873,15.2026766493069,197.97543299011,15.2956030349624,228.47371267438
22,11433711.0393665,15.9258512684082,213.53689865505,16.4978835293558,245.960633452814
23,11433692.720657,16.6833971596364,229.838591799439,17.7573540776374,264.279343036713
24,11433673.5306294,17.4769450720874,246.915692791793,19.076732718825,283.469370582705
25,11433653.4278797,18.3082028472967,264.805051001462,20.4588664391185,303.572120287878
26,11433632.36904,19.178959036548,283.545263685963,21.9067372667439,324.630959989255
27,11433610.3086861,20.0910866852657,303.176758578722,23.4234686526909,346.691313916679
28,11433587.1992402,21.0465472919559,323.74188034821,25.0123321505545,369.80075979072
29,11433562.9908695,22.0473949494068,345.284981105649,26.6767544091711,394.009130464227
30,11433537.6313797,23.0957806762358,367.852515147812,28.4203244924559,419.368620316503
31,11433511.0661034,24.1939569473101,391.49313813214,30.2468015416843,445.933896621134
32,11433483.2377839,25.3442824316705,416.257810884755,32.1601227957092,473.762216112134
33,11433454.086453,26.5492269470366,442.199908053087,34.1644119854747,502.913546985598
34,11433423.5493034,27.8113766402996,469.375331823492,36.2639881198517,533.450696583643
35,11433391.560555,29.1334394041548,497.842630942681,38.463374681246,565.439445028082
36,11433358.0513149,30.5182505395993,527.663125273068,40.7673092487573,598.948685061424
37,11433322.9494316,31.9687786750348,558.901036137229,43.1807535686069,634.050568380871
38,11433286.1793412,33.4881319530146,591.623622715238,45.7089040922096,670.820658760463
39,11433247.6619077,35.0795644960173,625.901324768436,48.3572030030276,709.338092267481
40,11433207.3142551,36.7464831629982,661.807911973774,51.1313497541577,749.68574489093
41,11433165.0495921,38.4924546088453,699.420640163977,54.0373131394634,791.950407912286
42,11433120.7770286,40.321212659422,738.820414784211,57.0813439222534,836.222971365886
43,11433074.4013841,42.2366660152593,780.0919618877,60.2699880464223,882.598615949381
44,11433025.8229862,44.2429062972815,823.324007003329,63.6101004557801,931.17701375639
45,11432974.9374618,46.3442164484915,868.609462224628,67.1088595485669,982.062538221686
46,11432921.6355163,48.5450795061737,916.045621888385,70.7737822956038,1035.36448369016
47,11432865.802705,50.8501877591996,965.734367215735,74.6127400508847,1091.19729502582
48,11432807.3191923,53.2644523056237,1017.78238030787,78.633975084908,1149.6808076984
49,11432746.0595012,55.793013026156,1072.3013679028,82.8461178721483,1210.9404988011
50,11432681.8922505,58.4412489901179,1129.40829533174,87.2582051665512,1275.10774948841
51,11432614.6798807,61.2147893095943,1189.22563109527,91.8796988975116,1342.32011930238
52,11432544.2783671,64.1195244589108,1251.8816025235,96.7205059222095,1412.72163290462
53,11432470.5369203,67.1616180767974,1317.51046299718,101.790998671138,1486.46307974512
54,11432393.2976728,70.3475192688506,1386.25277122179,107.102036724851,1563.7023272155
55,11432312.3953522,73.6839754281697,1458.25568306239,112.664989361152,1644.60464785172
56,11432227.6569388,77.1780455922708,1533.67325646361,118.491759113249,1729.34306116913
57,11432138.9013093,80.8371143548553,1612.66677000296,124.594806381216,1818.09869073903
58,11432045.9388629,84.6689063511599,1695.4050556425,130.987175140419,1911.06113713408
59,11431948.5711326,88.6815013355916,1782.06484625752,137.682519791624,2008.42886738474
60,11431846.5903784,92.883349870628,1872.83113854489,144.695133199331,2110.40962161485
61,11431739.7791625,97.2832896462925,1967.89757194093,152.03997596701,2217.22083755424
62,11431627.9099064,101.890562448865,2067.46682417993,159.732706997996,2329.0900936268
63,11431510.7444287,106.714831797619,2171.75102415118,167.789715392863,2446.25557134166
64,11431388.0334623,111.766201268135,2280.97218272926,176.228153735425,2568.96653773282
65,11431259.5161514,117.055233521089,2395.36264229767,185.065972822971,2697.48384864173
66,11431124.9195264,122.592970053394,2515.16554564583,194.321957893306,2832.08047359253
