"dia","infectados","mortos","mortosD","infectadosD"
1,6,0,0,6
2,6,0,0,0
3,6,0,0,0
4,6,0,0,0
5,6,0,0,0
6,12,0,0,6
7,15,0,0,3
8,24,0,0,9
9,37,0,0,13
10,44,0,0,7
11,54,0,0,10
12,60,0,0,6
13,70,0,0,10
14,97,0,0,27
15,106,0,0,9
16,125,2,2,19
17,137,2,0,12
18,152,2,0,15
19,160,3,1,8
20,185,3,0,25
21,229,3,0,44
22,258,4,1,29
23,307,5,1,49
24,401,7,2,94
25,445,10,3,44
26,466,14,4,21
27,511,15,1,45
28,550,17,2,39
29,621,24,7,71
30,655,26,2,34
31,688,27,1,33
32,750,31,4,62
33,768,33,2,18
34,803,39,6,35
35,816,41,2,13
36,845,43,2,29
37,887,44,1,42
38,960,49,5,73
39,1002,52,3,42
40,1022,53,1,20
41,1039,55,2,17
42,1077,60,5,38
43,1096,62,2,19
44,1133,67,5,37
45,1155,71,4,22
46,1171,75,4,16
47,1201,77,2,30
48,1286,79,2,85
49,1364,84,5,78
50,1423,88,4,59
51,1464,92,4,41
52,1510,93,1,46
53,1533,96,3,23
54,1581,97,1,48
55,1608,102,5,27
56,1647,104,2,39
57,1678,107,3,31
58,1734,109,2,56
59,1809,110,1,75
60,1859,112,2,50
61,1873,114,2,14
