"time","S","I","R","D","I_"
1,17264942,1,0,0,1
2,17264940.7903798,1.14077653760115,1.06884368289129,0,2.20962022049244
3,17264939.4104739,1.30137095916724,2.28815512875313,0,3.58952608792037
4,17264937.8363095,1.48457321287629,3.67911732337428,0,5.16369053625057
5,17264936.0405386,1.69356600514456,5.2658953837473,0,6.95946138889186
6,17264933.9919695,1.93197939940575,7.07605113634582,0,9.00803053575157
7,17264931.6550094,2.2039555920152,9.14103497861768,0,11.3449905706329
8,17264928.9890622,2.51421908426588,11.4967187236823,0,14.0109378079482
9,17264925.9478151,2.86815960403347,14.1840252682421,0,17.0521848722755
10,17264922.4784361,3.27192556622541,17.2496383020229,0,20.5215638682483
11,17264918.5206576,3.73253066356209,20.7468117430744,0,24.4793424066365
12,17264914.0057238,4.25797634324163,24.7362998333186,0,28.9942761765603
13,17264908.8552036,4.85738997619616,29.2874064349111,0,34.1447964111072
14,17264902.9796256,5.54118362467418,34.4791907978615,0,40.0203744225356
15,17264896.2769234,6.32123496321299,40.4018416255112,0,46.7230765887242
16,17264888.6306639,7.21109340445068,47.158242636514,0,54.3693360409647
17,17264879.908025,8.22621537152903,54.8657595903394,0,63.0919749618684
18,17264869.9574889,9.38423262554307,63.6582785020175,0,73.0425111275606
19,17264858.6062111,10.7052583230187,73.6885306071057,0,84.3937889301244
20,17264845.6570193,12.2122361190372,85.1307445218978,0,97.342980640935
21,17264830.8849902,13.9313383406429,98.1836714530923,0,112.115009793735
22,17264814.0335439,15.8924201269355,113.074035963877,0,128.966456090812
23,17264794.8099905,18.1295373868551,130.06047209526,0,148.190009482115
24,17264772.8804494,20.6815375226266,149.438013027463,0,170.11955055009
25,17264747.8640548,23.5927331184275,171.543212043512,0,195.135945161939
26,17264719.3263463,26.9136702145984,196.759983441291,0,223.67365365589
27,17264686.7717311,30.7020044062636,225.526264455415,0,256.228268861679
28,17264649.6348868,35.0234998459618,258.341613390329,0,293.365113236291
29,17264607.2709564,39.9531683225935,295.775875268634,0,335.729043591227
30,17264558.9443674,45.5765679674846,338.479064635424,0,384.055632602909
31,17264503.8160801,51.9912838398655,387.192636032266,0,439.183919872131
32,17264440.9290479,59.3086157106067,442.762336407659,0,502.070952118265
33,17264369.1916374,67.6555018414451,506.152860752539,0,573.808362593984
34,17264287.3587255,77.1767114991749,578.464562976717,0,655.641274475892
35,17264194.0101476,88.0373434079264,660.952508967458,0,748.989852375384
36,17264087.5261292,100.425672391052,755.048198447219,0,855.473870838271
37,17263966.0592805,114.55639215653,862.384327292711,0,976.940719449241
38,17263827.5026783,130.67430861127,984.823013083077,0,1115.49732169435
39,17263669.4534901,149.058545330888,1124.48796457997,0,1273.54650991086
40,17263489.1715276,170.027330947766,1283.80114145877,0,1453.82847240654
41,17263283.5320278,193.94344734053,1465.52452484733,0,1659.46797218786
42,17263048.9718692,221.220427702826,1672.8077031159,0,1894.02813081873
43,17262781.428323,252.329604927499,1909.24207201826,0,2161.57167694576
44,17262476.2693217,287.808123347102,2178.92255491553,0,2466.73067826263
45,17262128.2140905,328.268040794177,2486.51786870396,0,2814.78590949814
46,17261731.2428412,374.406663235507,2837.35049556144,0,3211.75715879694
47,17261278.494058,427.01827091197,3237.48767110503,0,3664.505942017
48,17260762.1477196,487.007412949845,3693.84486739057,0,4180.85228034042
49,17260173.2925976,555.403966701827,4214.30343569857,0,4769.7074024004
50,17259501.7755411,633.380178430577,4807.8442804093,0,5441.22445883988
51,17258736.0304146,722.269923034934,5484.69966238315,0,6206.96958541808
52,17257862.8840795,823.590441827653,6256.52547862535,0,7080.115920453
53,17256867.3365273,939.066838148971,7136.59663449446,0,8075.66347264343
54,17255732.311956,1070.65962976452,8140.02841426953,0,9210.68804403404
55,17254438.3772637,1220.59567304639,9284.02706319975,0,10504.6227362461
56,17252963.4241,1391.40278481693,10588.1731151333,0,11979.5758999502
57,17251282.3102813,1585.94839067664,12074.741327971,0,13660.6897186477
58,17249366.4560652,1807.48251995809,13769.0614148229,0,15576.543934781
59,17247183.3905619,2059.68543821725,15699.9239998944,0,17759.6094381116
60,17244696.242933,2346.72018383963,17900.0368831933,0,20246.7570670329
61,17241863.173819,2673.29014225358,20406.5360387771,0,23079.8261810307
62,17238636.7413562,3044.70173481796,23261.5569089729,0,26306.2586437909
63,17234963.1970727,3466.93208654719,26512.8708407749,0,29979.8029273221
64,17230781.7070902,3946.70130718079,30214.5916026152,0,34161.292909796
65,17226023.495137,4491.54868008983,34427.9561828864,0,38919.5048629762
