"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,2,0,0,1
3,2,0,0,0
4,3,0,0,1
5,3,0,0,0
6,8,0,0,5
7,13,0,0,5
8,16,0,0,3
9,16,0,0,0
10,22,0,0,6
11,24,0,0,2
12,31,0,0,7
13,33,0,0,2
14,63,0,0,30
15,66,2,2,3
16,109,2,0,43
17,119,3,1,10
18,186,3,0,67
19,233,4,1,47
20,305,6,2,72
21,370,8,2,65
22,421,9,1,51
23,493,10,1,72
24,558,13,3,65
25,600,17,4,42
26,657,18,1,57
27,708,23,5,51
28,832,28,5,124
29,992,41,13,160
30,1074,47,6,82
31,1246,58,11,172
32,1394,64,6,148
33,1461,71,7,67
34,1688,89,18,227
35,1938,106,17,250
36,2216,122,16,278
37,2464,147,25,248
38,2607,155,8,143
39,2855,170,15,248
40,3231,188,18,376
41,3410,224,36,179
42,3743,265,41,333
43,3944,301,36,201
44,4349,341,40,405
45,4543,387,46,194
46,4765,402,15,222
47,4899,422,20,134
48,5306,461,39,407
49,5552,490,29,246
50,6172,530,40,620
51,6282,570,40,110
52,6828,615,45,546
53,7111,645,30,283
54,7944,677,32,833
55,8504,738,61,560
56,8869,794,56,365
57,9453,854,60,584
58,10166,921,67,713
59,10546,971,50,380
60,11139,1019,48,593
61,11721,1065,46,582
62,12391,1123,58,670
63,13295,1205,82,904
64,14156,1394,189,861
65,15741,1503,109,1585
66,16929,1653,150,1188
67,17062,1714,61,133
68,17939,1770,56,877
