"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,6,0,0,5
10,9,0,0,3
11,13,0,0,4
12,13,0,0,0
13,14,0,0,1
14,14,0,0,0
15,19,0,0,5
16,28,0,0,9
17,68,1,1,40
18,68,1,0,0
19,77,1,0,9
20,82,1,0,5
21,92,2,1,10
22,106,2,0,14
23,176,4,2,70
24,212,5,1,36
25,246,7,2,34
26,246,7,0,0
27,254,8,1,8
28,262,11,3,8
29,262,11,0,0
30,263,11,0,1
31,289,13,2,26
32,339,17,4,50
33,376,18,1,37
34,399,19,1,23
35,400,20,1,1
36,463,23,3,63
37,516,24,1,53
38,561,26,2,45
39,595,27,1,34
40,608,28,1,13
41,646,29,1,38
42,708,34,5,62
43,754,38,4,46
44,781,40,2,27
45,825,44,4,44
46,832,45,1,7
47,857,48,3,25
48,1086,54,6,229
49,1177,56,2,91
50,1297,56,0,120
51,1366,59,3,69
52,1392,61,2,26
53,1421,62,1,29
54,1536,68,6,115
55,1644,72,4,108
56,1739,76,4,95
57,1739,76,0,0
58,1918,87,11,179
59,1919,87,0,1
60,1928,88,1,9
61,1989,92,4,61
