"time","S","I","R","D","I_"
1,1777224,1,0,0,1
2,1777223.53395524,1.13296125899616,0.321347493934105,0.0117360088864158,1.46604476181668
3,1777223.00594469,1.28360107613188,0.6854217779911,0.0250324531209694,1.99405530724395
4,1777222.40773021,1.45426972931019,1.0979032712927,0.0400967886525928,2.59226978925548
5,1777221.72997628,1.64763055497491,1.56522905720465,0.0571641057465251,3.27002371792608
6,1777220.9621067,1.86670083895773,2.09469172504023,0.0765007388058699,4.03789330280383
7,1777220.09214432,2.114897522426,2.69454985260587,0.0984083013311365,4.90785567636301
8,1777219.10651065,2.396094382676,3.37416622947007,0.123228734005391,5.89348934615146
9,1777217.98982748,2.71467860490772,4.14414461233479,0.151349299169971,7.01017251641248
10,1777216.72467157,3.0756207654619,5.01649890511427,0.183208759490712,8.27532843006688
11,1777215.29130251,3.48455245090459,6.0048408046094,0.219304231010619,9.70869748652462
12,1777213.66735653,3.94785360365877,7.12459096845724,0.260198895265192,11.3326434673812
13,1777211.82749544,4.47275264287288,8.39322107932895,0.306530839767047,13.1725045619689
14,1777209.74301245,5.06743888977355,9.83052567064587,0.359022985418074,15.2569875458375
15,1777207.38138518,5.74119006404931,11.4589304087805,0.418494345357631,17.6186148181874
16,1777204.7057678,6.50451710214056,13.3038422808315,0.485872814254247,20.2942321972263
17,1777201.67441633,7.36932806138539,15.394045962419,0.562209644148927,23.3255836679533
18,1777198.2400378,8.34911370811238,17.7621526595354,0.648695836716025,26.7599622043638
19,1777194.3490528,9.45915778883495,20.4451086922788,0.746680717371718,30.6509471984854
20,1777189.94076019,10.716775206241,23.4847716313605,0.857692976493575,35.0592398140951
21,1777184.94639073,12.1415818003456,26.9285629621799,0.98346450552173,40.0536092680473
22,1777179.28803524,13.7557999218211,30.830207436365,1.12595739899381,45.7119647571799
23,1777172.87743033,15.584604529646,35.2505705996651,1.28739454210192,52.122569671413
24,1777165.61458305,17.6565151740382,40.2586075195958,1.47029425940253,59.3854169530365
25,1777157.38621306,20.0038399276523,45.9324374518448,1.6775095629659,67.6137869424629
26,1777148.06398814,22.6631781235504,52.3605611313965,1.91227260935727,76.9360118643042
27,1777137.50252571,25.6759896571376,59.6432395774992,2.17824505530357,87.4974742899404
28,1777125.53712949,29.0892396227773,67.8940557911241,2.47957509282097,99.4628705067225
29,1777111.98122621,32.9561281995012,77.2416835390393,2.82096204740209,113.018773785943
30,1777096.62346287,37.3369169895247,87.8318906005007,3.20772953906886,128.376537129094
31,1777079.22441975,42.2998644657855,99.8298074475194,3.64590833738854,145.775580250693
32,1777059.5128886,47.9222848198922,113.422496389984,4.14233018983891,165.487111399715
33,1777037.18165879,54.2917463409777,128.821860800742,4.70473407031502,187.818341212035
34,1777011.88274679,61.5074275223297,146.267939208121,5.34188648347212,213.117253213923
35,1776983.22199604,69.6816514116767,166.03263487663,6.06371767363691,241.778003961944
36,1776950.75296478,78.9416213199984,188.423938071045,6.88147582712658,274.24703521817
37,1776913.97000886,89.4313839119522,213.790705603532,7.80790162723555,311.02999114272
38,1776872.30045463,101.314048949382,242.528070595904,8.85742582546006,352.699545370746
39,1776825.09574383,114.774298580055,275.083564756911,10.0463928346554,399.904256171621
40,1776771.62141718,130.021223089558,311.964045994972,11.3933137340414,453.378582818572
41,1776711.04578701,147.291524497732,353.743535987044,12.9191525069351,513.954212991712
42,1776642.42713033,166.853134312955,401.072085541251,14.6476498147848,582.572869668991
43,1776564.6992133,189.009297185623,454.685800369968,16.6056891508333,660.300786706425
44,1776476.65493465,214.103178147754,515.41817638449,18.8237108191328,748.345065351377
45,1776376.92785055,242.523057600995,584.212911990378,21.3361798554554,848.072149446829
46,1776263.97131477,274.708185218921,662.138385264188,24.1821147517367,961.028685234846
47,1776136.03493741,311.155371439738,750.404006484187,27.4056846707706,1088.9650625947
48,1775991.13803164,352.426403193509,850.378681416149,31.0568837482983,1233.86196835796
49,1775827.03968093,399.156378846769,963.611648146506,35.192292079988,1397.96031907326
50,1775641.2050198,452.063065919289,1091.85598020157,39.8759340844883,1583.79498020535
