"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,3,0,0,2
3,3,0,0,0
4,3,0,0,0
5,5,0,0,2
6,5,0,0,0
7,6,0,0,1
8,6,0,0,0
9,6,0,0,0
10,6,0,0,0
11,8,1,1,2
12,9,1,0,1
13,9,1,0,0
14,10,1,0,1
15,10,1,0,0
16,11,1,0,1
17,14,1,0,3
18,18,1,0,4
19,23,1,0,5
20,26,1,0,3
21,28,2,1,2
22,32,2,0,4
23,34,2,0,2
24,42,2,0,8
25,42,2,0,0
26,69,2,0,27
27,73,2,0,4
28,92,3,1,19
29,110,3,0,18
30,128,4,1,18
31,160,4,0,32
32,199,4,0,39
33,223,5,1,24
34,223,5,0,0
35,250,5,0,27
36,290,6,1,40
37,328,7,1,38
38,364,10,3,36
39,393,10,0,29
40,413,11,1,20
41,433,15,4,20
42,502,16,1,69
43,585,18,2,83
44,654,23,5,69
45,705,24,1,51
46,756,25,1,51
47,861,29,4,105
48,943,33,4,82
49,1098,37,4,155
50,1222,39,2,124
51,1263,41,2,41
52,1302,43,2,39
53,1398,47,4,96
