"time","S","I","R","D","I_"
1,605759,2,0,0,2
2,605756.110893932,2.14235184492654,2.69575285103569,0.0510013717618268,4.88910606772405
3,605753.016178308,2.29481993831818,5.58336911586213,0.105632637595907,7.98382169177621
4,605749.701245994,2.45812082581956,8.67648146447916,0.164151716128016,11.2987540064267
5,605746.150454789,2.63302151140101,11.9896888913321,0.226834808027948,14.8495452107611
6,605742.34705585,2.820342899571,15.5386235889838,0.293977661203024,18.6529441497579
7,605738.273117358,3.02096346076425,19.3400222611108,0.365896919979873,22.7268826418549
8,605733.909436746,3.23582343819617,23.4118081395032,0.442931676796938,27.0905632544963
9,605729.235457176,3.46592884016169,27.7731690351255,0.525444948864765,31.764542824152
10,605724.22917018,3.71235608582923,32.4446483349175,0.613825399748767,36.7708298204955
11,605718.867014518,3.97625681816736,37.4482395357525,0.708489127872044,42.1329854817919
12,605713.123768114,4.2588630329927,42.8074872749754,0.809881577927999,47.8762318858961
13,605706.972432041,4.56149256851944,48.547595797561,0.918479592987558,54.027567959068
14,605700.384107207,4.88555492325833,54.6955442732792,1.03479359620272,60.6158927927403
15,605693.327862552,5.23255745322183,61.2802100717012,1.15936992306581,67.6721374479889
16,605685.770594213,5.6041119694337,68.3325005036323,1.29279331384627,75.2294057869123
17,605677.676875308,6.00194174768865,75.8854933714573,1.43568957268483,83.3231246918308
18,605669.008795741,6.42788897222013,83.9745868832454,1.58872840384191,91.9912042593074
19,605659.725791351,6.88392263812595,92.6376595731465,1.75262643725682,101.274208648529
20,605649.784461789,7.37214693390842,101.91524082211,1.92815045465596,111.215538210675
21,605639.138376428,7.89481012633873,111.85069261743,2.11612082829022,121.861623572059
22,605627.737867625,8.45431396984901,122.490403220483,2.31741518496542,133.262132375298
23,605615.52981059,9.05322366223562,133.883993439276,2.53297230854495,145.470189410057
24,605602.457389106,9.69427836786819,146.084536231238,2.76379629464956,158.542610893756
25,605588.459846312,10.3804023285813,159.148790387286,3.0109609717629,172.540153687631
26,605573.472219745,11.1147165809583,173.137449070161,3.27561460336733,187.527780254486
27,605557.425059769,11.9005512978911,188.115404045587,3.55898488697479,203.574940230453
28,605540.244130618,12.741458767053,204.152026350714,3.86238426413712,220.755869381904
29,605521.850093112,13.6412270195108,221.32146430973,4.18721555865025,239.149906887891
30,605502.158168215,14.6038941152309,239.702959710672,4.53497795835302,258.841831784256
31,605481.077780528,15.6337630889594,259.381183025892,4.9072733572158,279.922219472068
32,605458.512180859,16.7354175532389,280.446588514285,5.30581307357533,302.4878191411
33,605434.358047028,17.9137379489845,302.99579006194,5.73242496072309,326.641952971647
34,605408.505062052,19.1739184257664,327.131958596511,6.18906092565022,352.494937947927
35,605380.835468925,20.5214843244693,352.965241878799,6.67780487115041,380.164531074419
36,605351.223601282,21.9623102229108,380.613207419899,7.20088107543897,409.776398718249
37,605319.535389247,23.5026384921614,410.201309238188,7.76066302280169,441.464610753151
38,605285.627839922,25.1490982953878,441.863379085522,8.35968269718037,475.37216007809
39,605249.348492065,26.9087249434289,475.742142642651,9.00064034815505,511.651507934235
40,605210.534844669,28.7889795000746,511.989761093748,9.68641473707762,550.4651553309
41,605169.013759303,30.7977685062613,550.768398322272,10.4200738679394,591.986240696473
42,605124.600836348,32.9434636651288,592.25081378246,11.2048862040001,636.399163651589
43,605077.099765458,35.2349212987778,636.620980875825,12.0443323669499,683.900234541553
44,605026.301650944,37.681501352373,684.074730393405,12.9421173102948,734.698349056073
45,604971.984313098,40.2930856815141,734.820418267025,13.9021829526469,789.015686901186
46,604913.911566935,43.0800953142002,789.079616500487,14.9287212495609,847.088433064248
47,604851.832480279,46.0535063288578,847.087825717842,16.0261876743467,909.167519721046
48,604785.480613733,49.2248639344617,909.095207263571,17.1993150687872,975.519386266819
49,604714.573245697,52.6062942774343,975.367332211223,18.4531278137512,1046.42675430241
50,604638.810586335,56.2105134325371,1046.18594397491,19.7929562571593,1122.1894136646
51,604557.874985252,60.0508329612034,1121.84973046395,21.2244513224998,1203.12501474765
52,604471.430138587,64.1411613406865,1202.67510086679,22.7535992049248,1289.5698614124
53,604379.120302287,68.4960004811312,1288.99696118763,24.3867360437506,1381.87969771252
54,604280.569519524,73.1304364555563,1381.16948158065,26.1305624397731,1480.43048047598
55,604175.380871542,78.0601234703695,1479.56684732424,27.9921576630686,1585.61912845768
56,604063.135762679,83.3012600023202,1584.5839839461,29.9789933717488,1697.86423732017
57,603943.393251899,88.8705559230711,1696.63724554327,32.0989466343954,1817.60674810073
58,603815.689444917,94.785189326606,1816.16505373736,34.3603120185557,1945.31055508252
