"dia","infectados","mortos","mortosD","infectadosD"
1,2,0,0,2
2,2,0,0,0
3,2,0,0,0
4,8,0,0,6
5,8,0,0,0
6,10,0,0,2
7,12,0,0,2
8,16,0,0,4
9,16,0,0,0
10,16,0,0,0
11,16,0,0,0
12,26,0,0,10
13,30,0,0,4
14,37,1,1,7
15,42,1,0,5
16,42,1,0,0
17,42,1,0,0
18,49,1,0,7
19,52,1,0,3
20,63,2,1,11
21,75,3,1,12
22,79,3,0,4
23,83,3,0,4
24,113,3,0,30
25,114,3,0,1
26,142,3,0,28
27,164,3,0,22
28,201,3,0,37
29,222,3,0,21
30,244,3,0,22
31,247,3,0,3
32,280,3,0,33
33,297,3,0,17
34,304,3,0,7
35,345,3,0,41
36,401,4,1,56
37,407,4,0,6
38,425,4,0,18
39,425,6,2,0
40,452,6,0,27
41,519,7,1,67
42,602,8,1,83
43,668,9,1,66
44,740,11,2,72
45,806,11,0,66
46,869,11,0,63
47,932,13,2,63
48,1020,14,1,88
49,1124,16,2,104
50,1202,18,2,78
51,1290,21,3,88
52,1328,27,6,38
