"time","S","I","R","D","I_"
1,11377238,1,0,0,1
2,11377236.8373157,1.1090835464796,1.05360070784355,0,2.16268425432315
3,11377235.547802,1.23006616252701,2.2221318056414,0,3.45219796816841
4,11377234.1176237,1.36424582605835,3.51813047389877,0,4.88237629995712
5,11377232.5314362,1.51306211692758,4.95550169869713,0,6.46856381562471
6,11377230.7722238,1.67811138325321,6.54966478693382,0,8.22777617018703
7,11377228.8211125,1.86116432120815,8.31772320092168,0,10.1788875221298
8,11377226.6571683,2.06418484451987,10.2786468572438,0,12.3428317017636
9,11377224.2571763,2.28935085977892,12.4534728436277,0,14.7428237034066
10,11377221.5953886,2.53907787450364,14.8655335103639,0,17.4046113848675
11,11377218.6432492,2.81604482131177,17.5407059817583,0,20.35675080307
12,11377215.3690872,3.12322281445095,20.507690010678,0,23.630912825129
13,11377211.7377768,3.46390704327368,23.7983161560576,0,27.2622231993313
14,11377207.7103615,3.8417520329123,27.4478865126221,0,31.2896385455344
15,11377203.2436359,4.26081082360091,31.4955533269275,0,35.7563641505284
16,11377198.2896824,4.72557844215222,35.9847391156621,0,40.7103175578143
17,11377192.7953576,5.24104008181237,40.9636023166466,0,46.204642398459
18,11377186.7017218,5.8127245271482,46.485553668964,0,52.2982781961122
19,11377179.9434077,6.44676340200109,52.6098289212983,0,59.0565923232994
20,11377172.4479192,7.149956868442,59.4021239531253,0,66.5520808215673
21,11377164.1348544,7.92984647858221,66.9352991119158,0,74.865145590498
22,11377154.9150437,8.79479595606121,75.2901602991674,0,84.0849562552286
23,11377144.6895941,9.75408076809077,84.5563251568118,0,94.3104059249025
24,11377133.3488289,10.8179874421998,94.8331836147975,0,105.651171056997
25,11377120.7711133,11.997923684583,106.230963063519,0,118.228886748102
26,11377106.82155,13.3065404709107,118.871909528163,0,132.178449999074
27,11377091.3505351,14.7578674064772,132.891597454903,0,147.64946486138
28,11377074.1921551,16.3674627919202,148.440382084141,0,164.807844876061
29,11377055.1624101,18.1525799848383,165.685009898062,0,183.8375898829
30,11377034.0572439,20.1323518179344,184.810404303799,0,204.942756121733
31,11377010.6503594,22.3279950224633,206.021645566649,0,228.349640589112
32,11376984.6907971,24.763036813541,229.546166058751,0,254.309202872292
33,11376955.9002498,27.4635660232144,255.636184157963,0,283.099750181177
34,11376923.9700859,30.4585114201945,284.57140264203,0,315.029914062225
35,11376888.5580497,33.7799501340934,316.662000199231,0,350.441950333324
36,11376849.2846028,37.4634494093264,352.251947745733,0,389.715397155059
37,11376805.7288701,41.5484452521677,391.722684631503,0,433.271129883671
38,11376757.4241445,46.0786619065936,435.49719356325,0,481.575855469843
39,11376703.8529063,51.1025765034941,484.044517209774,0,535.147093713268
40,11376644.4413023,56.6739336767254,537.884764020681,0,594.558697697407
41,11376578.5530287,62.8523154316089,597.594655825197,0,660.446971256806
42,11376505.4825526,69.7037720902749,663.813675328784,0,733.517447419059
43,11376424.4476015,77.301520727173,737.250877739827,0,814.552398467
44,11376334.5808444,85.7267181506566,818.692437488612,0,904.419155639268
45,11376234.9206754,95.069316186217,909.010008401688,0,1004.07932458791
46,11376124.4010084,105.429007776995,1009.16998382516,0,1114.59899160215
47,11376001.8399746,116.916273240592,1120.24375211233,0,1237.16002535293
48,11375865.9274104,129.653536910438,1243.41905266929,0,1373.07258957973
49,11375715.2110062,143.776445346819,1380.01254845285,0,1523.78899379967
50,11375548.0809782,159.435279327876,1531.48374250753,0,1690.91902183541
51,11375362.7531082,176.796512923837,1699.45037887916,0,1876.246891803
52,11375157.2499838,196.044534115963,1885.70548212008,0,2081.75001623604
53,11374929.3802527,217.383542640214,2092.23620466664,0,2309.61974730685
54,11374676.7156903,241.039642006383,2321.24466768147,0,2562.28430968786
55,11374396.5658575,267.26314395427,2575.1709985561,0,2842.43414251037
56,11374085.9501079,296.331104941828,2856.71878719701,0,3153.04989213884
57,11373741.5666809,328.550115592385,3168.88320348049,0,3497.43331907288
58,11373359.7585948,364.259365326541,3514.98203984226,0,3879.2414051688
59,11372936.4760286,403.834005626964,3898.68996581324,0,4302.52397144021
60,11372467.2348609,447.68883628354,4324.0763028076,0,4771.76513909114
