"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,2,0,0,1
3,4,0,0,2
4,4,0,0,0
5,6,0,0,2
6,6,0,0,0
7,8,0,0,2
8,10,0,0,2
9,19,0,0,9
10,31,0,0,12
11,43,0,0,12
12,69,0,0,26
13,77,0,0,8
14,96,0,0,19
15,112,0,0,16
16,162,1,1,50
17,190,1,0,28
18,197,2,1,7
19,200,2,0,3
20,230,2,0,30
21,254,4,2,24
22,305,4,0,51
23,316,5,1,11
24,386,5,0,70
25,410,6,1,24
26,418,7,1,8
27,468,7,0,50
28,501,8,1,33
29,555,8,0,54
30,581,10,2,26
31,636,14,4,55
32,640,15,1,4
33,653,16,1,13
34,664,16,0,11
35,685,17,1,21
36,720,18,1,35
37,762,19,1,42
38,792,21,2,30
39,831,24,3,39
40,854,24,0,23
41,869,26,2,15
42,904,27,1,35
43,918,27,0,14
44,970,28,1,52
45,1039,29,1,69
46,1096,34,5,57
47,1166,35,1,70
48,1208,38,3,42
49,1256,45,7,48
50,1350,49,4,94
51,1420,51,2,70
52,1529,58,7,109
53,1619,62,4,90
54,1666,65,3,47
55,1690,67,2,24
56,1768,76,9,78
57,2019,83,7,251
58,2100,90,7,81
59,2182,91,1,82
60,2493,95,4,311
61,2542,97,2,49
62,2576,100,3,34
63,2808,105,5,232
