"time","S","I","R","D","I_"
1,7164786,2,0,0,2
2,7164784.00000114,1.99999927461034,0.999999790642695,0.999999790642695,3.99999885589573
3,7164782.00000385,1.99999799093655,1.9999990790196,1.9999990790196,5.99999614897575
4,7164780.00000868,1.99999614897977,2.99999758598888,2.99999758598888,7.99999132095753
5,7164778.00001612,1.99999374874192,3.99999506730181,3.99999506730181,9.99998388334553
6,7164776.00002682,1.99999079022614,4.9999911972958,4.9999911972958,11.9999731848177
7,7164774.00004131,1.99998727343582,5.99998570846306,5.99998570846306,13.9999586903619
8,7164772.00006016,1.99998319837503,6.99997832166742,6.99997832166742,15.9999398417099
9,7164770.00008392,1.99997856504848,7.99996875777482,7.99996875777482,17.9999160805981
10,7164768.00011315,1.99997337346151,8.99995673765368,8.99995673765368,19.9998868487689
11,7164766.00014841,1.99996762362006,9.99994198217527,9.99994198217527,21.9998515879706
12,7164764.00019026,1.99996131553072,10.999924212214,10.999924212214,23.9998097399586
13,7164762.00023925,1.99995444920067,11.9999031486476,11.9999031486476,25.9997607464959
14,7164760.00029595,1.99994702463775,12.9998785123578,12.9998785123578,27.9997040493533
15,7164758.00036091,1.99993904185039,13.9998500242301,13.9998500242301,29.9996390903107
16,7164756.00043469,1.99993050084767,14.9998174051547,14.9998174051547,31.9995653111571
17,7164754.00051785,1.99992140163928,15.9997803760262,15.9997803760262,33.9994821536917
18,7164752.00061094,1.99991174423553,16.9997386577444,16.9997386577444,35.9993890597244
19,7164750.00071453,1.99990152864736,17.9996919712143,17.9996919712143,37.999285471076
20,7164748.00082917,1.99989075488634,18.9996400373466,18.9996400373466,39.9991708295795
21,7164746.00095542,1.99987942296465,19.9995825770578,19.9995825770578,41.9990445770802
22,7164744.00109384,1.99986753289509,20.9995193112708,20.9995193112708,43.9989061554368
23,7164742.00124499,1.99985508469109,21.9994499609151,21.9994499609151,45.9987550065213
24,7164740.00140943,1.99984207836672,22.9993742469269,22.9993742469269,47.9985905722204
25,7164738.0015877,1.99982851393664,23.9992918902496,23.9992918902496,49.9984122944358
26,7164736.00178038,1.99981439141615,24.9992026118342,24.9992026118342,51.9982196150846
27,7164734.00198802,1.99979971082119,25.9991061326395,25.9991061326395,53.9980119761003
28,7164732.00221118,1.99978447216828,26.9990021736324,26.9990021736324,55.9977888194331
29,7164730.00245041,1.99976867547461,27.9988904557881,27.9988904557881,57.9975495870509
30,7164728.00270628,1.99975232075796,28.9987707000908,28.9987707000908,59.9972937209395
31,7164726.00297934,1.99973540803675,29.9986426275334,29.9986426275334,61.9970206631036
32,7164724.00327014,1.99971793733001,30.9985059591185,30.9985059591185,63.996729855567
33,7164722.00357926,1.9996999086574,31.9983604158582,31.9983604158582,65.9964207403737
34,7164720.00390724,1.9996813220392,32.9982057187746,32.9982057187746,67.9960927595883
35,7164718.00425464,1.99966217749632,33.9980415889001,33.9980415889001,69.9957453552965
36,7164716.00462203,1.99964247505028,34.9978677472777,34.9978677472777,71.9953779696057
37,7164714.00500995,1.99962221472323,35.9976839149615,35.9976839149615,73.9949900446462
38,7164712.00541897,1.99960139653794,36.9974898130165,36.9974898130165,75.9945810225709
39,7164710.00584965,1.99958002051781,37.9972851625194,37.9972851625194,77.9941503455567
40,7164708.00630254,1.99955808668686,38.9970696845589,38.9970696845589,79.9936974558047
41,7164706.0067782,1.99953559506971,39.9968431002357,39.9968431002357,81.9932217955411
42,7164704.00727719,1.99951254569164,40.9966051306629,40.9966051306629,83.9927228070175
43,7164702.00780007,1.99948893857852,41.9963554969666,41.9963554969666,85.9921999325117
44,7164700.00834738,1.99946477375686,42.9960939202858,42.9960939202858,87.9916526143284
45,7164698.0089197,1.99944005125379,43.995820121773,43.995820121773,89.9910802947998
46,7164696.00951758,1.99941477109705,44.9955338225945,44.9955338225945,91.9904824162861
47,7164694.01014158,1.99938893331501,45.9952347439305,45.9952347439305,93.9898584211759
48,7164692.01079225,1.99936253793667,46.9949226069755,46.9949226069755,95.9892077518876
49,7164690.01147015,1.99933558499164,47.9945971329388,47.9945971329388,97.9885298508692
50,7164688.01217584,1.99930807451016,48.9942580430446,48.9942580430446,99.9878241605994
51,7164686.01290988,1.99928000652308,49.9939050585324,49.9939050585324,101.987090123588
52,7164684.01367282,1.99925138106187,50.9935379006572,50.9935379006572,103.986327182376
53,7164682.01446522,1.99922219815865,51.9931562906899,51.9931562906899,105.985534779539
54,7164680.01528764,1.99919245784614,52.9927599499178,52.9927599499178,107.984712357682
55,7164678.01614064,1.99916216015766,53.9923485996444,53.9923485996444,109.983859359447
56,7164676.01702477,1.9991313051272,54.9919219611904,54.9919219611904,111.982975227508
57,7164674.01794059,1.99909989278933,55.9914797558932,55.9914797558932,113.982059404576
