"dia","infectados","mortos","mortosD","infectadosD"
1,2,0,0,2
2,3,0,0,1
3,5,0,0,2
4,6,0,0,1
5,7,0,0,1
6,7,0,0,0
7,14,0,0,7
8,21,0,0,7
9,39,0,0,18
10,57,0,0,18
11,68,0,0,11
12,86,0,0,18
13,109,0,0,23
14,122,0,0,13
15,149,1,1,27
16,163,1,0,14
17,184,1,0,21
18,197,1,0,13
19,219,2,1,22
20,235,2,0,16
21,247,2,0,12
22,281,5,3,34
23,301,5,0,20
24,356,10,5,55
25,379,10,0,23
26,417,11,1,38
27,457,15,4,40
28,501,17,2,44
29,693,18,1,192
30,717,18,0,24
31,732,21,3,15
32,776,24,3,44
33,826,26,2,50
34,853,28,2,27
35,884,29,1,31
36,926,30,1,42
37,962,31,1,36
38,975,32,1,13
39,1025,35,3,50
40,1063,35,0,38
41,1091,37,2,28
42,1115,39,2,24
43,1170,42,3,55
44,1209,42,0,39
45,1235,42,0,26
46,1337,43,1,102
47,1476,44,1,139
48,1995,44,0,519
49,2085,46,2,90
50,2394,48,2,309
51,2104,50,2,-290
52,2346,52,2,242
53,2519,52,0,173
54,2623,55,3,104
55,2795,58,3,172
56,2917,59,1,122
57,3082,63,4,165
58,3205,63,0,123
59,3372,64,1,167
60,3429,65,1,57
61,3529,69,4,100
