"time","S","I","R","D","I_"
1,2298695,1,0,0,1
2,2298694.79034385,1.11413748519174,0.0839898337241896,0.0115288341669777,1.20965615308291
3,2298694.55675599,1.24130345599498,0.177566896662476,0.0243736558866048,1.44324400854406
4,2298694.29650752,1.38298354030469,0.281824416960968,0.0386845267251959,1.70349248399086
5,2298694.00655675,1.54083362673194,0.397980913386124,0.0546287062207803,1.99344324633885
6,2298693.68351052,1.71670097033517,0.527395726739611,0.072392783797148,2.31648948087193
7,2298693.3235925,1.91264139828822,0.671581681401809,0.0921844167460425,2.67640749643607
8,2298692.92259413,2.13094606361447,0.832224773164172,0.114235032670354,3.077405869449
9,2298692.47582745,2.37416708803887,1.01120303970494,0.138802419733145,3.52417254747696
10,2298691.97806867,2.64514830917023,1.21060918742098,0.166173832521548,4.02193132911276
11,2298691.42349648,2.94705884364217,1.43277529065795,0.196669382377661,4.57650351667778
12,2298690.80562696,3.28342853901198,1.68029888106682,0.230645618544644,5.19437303862344
13,2298690.11723565,3.65819038184388,1.95607415623955,0.268499812008815,5.88276435009224
14,2298689.35027345,4.0757262881371,2.26332567773393,0.310674581046846,6.64972654691787
15,2298688.49577281,4.54091818182425,2.60564596100088,0.357663050993547,7.50422719381868
16,2298687.54374233,5.0592053430381,2.98703767979122,0.410014647414509,8.45625767024383
17,2298686.48305032,5.63664783638765,3.41196034550717,0.46834150353041,9.51694968542523
18,2298685.30129471,6.27999728944092,3.88538239646939,0.533325610231433,10.6987052961417
19,2298683.98465797,6.99677589336466,4.41283933901393,0.605726796793917,12.0153420291725
20,2298682.51774555,7.79536435557229,5.00049847782071,0.686391616065504,13.4822544494585
21,2298680.88340589,8.68509985609116,5.65523100981618,0.77626324040862,15.116594106316
22,2298679.06252996,9.67638519832049,6.38469235835874,0.876392488743409,16.9374700454226
23,2298677.0338278,10.7808104118987,7.19741167387422,0.987950111820107,18.966172197593
24,2298674.77357975,12.0112882289761,8.10289154763971,1.11224047939553,21.2264202560114
25,2298672.25535905,13.3822050166831,9.11171910444827,1.25071682932755,23.7446409504589
26,2298669.44972305,14.9095889269294,10.2356897713716,1.40499825664956,26.5502769549505
27,2298666.32386896,16.611297227092,11.4879451690942,1.57688864117463,29.6761310373609
28,2298662.84125053,18.5072249979699,12.8831267366379,1.76839773473772,33.1587494693455
29,2298658.96115083,20.6195376343151,14.4375468839405,1.98176465439266,37.0388491726482
30,2298654.63820641,22.9729298604881,16.1693796713467,2.21948405596341,41.3617935877982
31,2298649.82187718,25.5949142822847,18.0988732428,2.48433529360943,46.1781228186941
32,2298644.45585576,28.5161428395393,20.2485864932341,2.77941490588958,51.544144238663
33,2298638.47740956,31.7707649065481,22.6436527331944,3.10817280759117,57.5225904473337
34,2298631.81664775,35.3968262130554,25.3120734283578,3.47445260977883,64.1833522511921
35,2298624.39570479,39.4367132323674,28.2850454419949,3.88253653861289,71.6042952129751
36,2298616.12783072,43.9376482104634,31.5973255985714,4.33719547704039,79.8721692860751
37,2298606.91637787,48.9522405967358,35.2876368210966,4.84374471309128,89.0836221309237
38,2298596.65367209,54.5391012898089,39.3991205784828,5.4081060449018,99.3463279131935
39,2298585.21975528,60.7635268380914,43.97984091763,6.03687696649632,110.780244722218
40,2298572.48098476,67.6982615424063,49.0833459543365,6.73740774063428,123.519015237377
41,2298558.28847307,75.4243463061771,54.7692933642956,7.5178872566057,137.711526927078
42,2298542.47635009,84.0320640771419,61.1041471579522,8.38743867278004,153.523649907874
43,2298524.85982736,93.6219928343441,68.1619538492695,9.35622595713143,171.140172640745
44,2298505.23304208,104.30617830727,76.0252070478152,10.4355725651588,190.766957920244
45,2298483.36665586,116.209439983754,84.7858105263536,11.638093635011,212.633344145119
46,2298459.00518033,129.470825484237,94.546150953755,12.9778432357815,236.994819673774
47,2298431.86399881,144.245230068199,105.420292748172,14.4704783785978,264.136001194968
48,2298401.62604948,160.705199911633,117.535308912058,16.13344169321,294.373950516901
49,2298367.93813197,179.042939871496,131.032763274203,17.9861648874066,328.061868033106
50,2298330.4067946,199.472548755118,146.070361301504,20.0502953450966,365.593205401718
51,2298288.59375528,222.232507662313,162.823788573597,22.3499484838652,407.406244719775
52,2298242.01080327,247.588449790134,181.488758157254,24.9119887870797,453.989196734468
53,2298190.11412354,275.836243211421,202.28329049744,27.7663427523123,505.885876461174
54,2298132.29797897,307.305421587145,225.450252082986,30.946347360365,563.702021030496
55,2298067.88767828,342.36300157959,251.260182074206,34.4891380712886,628.112321725085
56,2297996.13174994,381.417729931022,280.014439327273,38.4360807995458,699.868250057841
