"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,1,0,0,0
3,5,0,0,4
4,5,0,0,0
5,6,0,0,1
6,6,0,0,0
7,7,0,0,1
8,10,0,0,3
9,10,0,0,0
10,10,0,0,0
11,15,0,0,5
12,16,0,0,1
13,16,0,0,0
14,16,0,0,0
15,16,0,0,0
16,16,0,0,0
17,18,0,0,2
18,19,0,0,1
19,22,0,0,3
20,24,2,2,2
21,27,2,0,3
22,32,3,1,5
23,32,3,0,0
24,32,4,1,0
25,36,4,0,4
26,39,4,0,3
27,40,4,0,1
28,42,4,0,2
29,44,4,0,2
30,44,4,0,0
31,45,4,0,1
32,46,4,0,1
33,48,4,0,2
34,53,4,0,5
35,58,4,0,5
36,71,5,1,13
37,86,5,0,15
38,92,5,0,6
39,117,7,2,25
40,118,7,0,1
41,135,8,1,17
42,145,8,0,10
43,154,9,1,9
44,175,9,0,21
45,211,11,2,36
46,280,11,0,69
47,337,12,1,57
48,453,14,2,116
49,517,14,0,64
50,601,14,0,84
51,730,14,0,129
52,772,17,3,42
53,898,21,4,126
54,998,23,2,100
55,1214,25,2,216
56,1438,28,3,224
57,1588,33,5,150
58,1771,34,1,183
59,1800,37,3,29
