"time","S","I","R","D","I_"
1,45919048,1,0,0,1
2,45919043.2015414,1.09818338999421,4.32338093388368,0.376894259975888,5.79845858385378
3,45919037.9319554,1.20600616282119,9.07124529153041,0.790793208716847,11.0680446630684
4,45919032.1449872,1.32441458156729,14.2852683056462,1.24532991863317,16.8550128058467
5,45919025.7898427,1.45444775685452,20.0112154711499,1.74449403408042,23.2101572620849
6,45919018.8107478,1.597246646073,26.2993392128797,2.29266635119038,30.1892522101431
7,45919011.146441,1.7540644213702,33.2048359302094,2.89465866110834,37.853559012688
8,45919002.7296564,1.92627704363454,40.7883121840862,3.55575439022841,46.2703436179492
9,45918993.4865247,2.11539549806266,49.1163241984761,4.28175563167215,55.5134753282109
10,45918983.335926,2.32307901763021,58.2619610042003,5.07903398132831,65.6640740031588
11,45918972.1887801,2.55114958484437,68.3054840523206,5.95458629667141,76.8112199338364
12,45918959.9472626,2.80160793545879,79.3350331919678,6.91609624095496,89.0527373683816
13,45918946.5039498,3.07665103225604,91.4473976348834,7.97200149267427,102.496050159814
14,45918931.7408774,3.37869127485515,104.748863687464,9.13156764729913,117.259122609619
15,45918915.5285061,3.71037761515894,119.356146784799,10.4049694681012,133.471493868059
16,45918897.724587,4.07461872184168,135.397414217491,11.8033800431991,151.275412982532
17,45918878.1729153,4.47460839890774,153.013407675932,13.3390686442716,170.827084719111
18,45918856.7019625,4.91385348745918,172.358675819832,15.0255081768114,192.298037484103
19,45918833.1233749,5.3962044873005,193.602927432793,16.8774931424794,215.876625062573
20,45918807.2303248,5.92588916151111,216.932516918005,18.9112691384039,241.76967521792
21,45918778.7957005,6.50754941215084,242.552075028498,21.1446750174204,270.204299458069
22,45918747.5701204,7.14628174221537,270.686298954199,23.5972989403713,301.429879636786
23,45918713.2797514,7.84768164898555,301.581917261012,26.2906496712734,335.720248581271
24,45918675.6239164,8.61789232623181,335.50984666132,29.2483445955456,373.376083583097
25,45918634.2724666,9.46365808805243,372.767559224164,32.4963160834879,414.727533395704
26,45918588.8628986,10.392382965556,413.681680414462,36.0630379764693,460.137101356487
27,45918538.9971906,11.4121949693456,458.610840295925,39.9797741428684,510.002809408139
28,45918484.2383299,12.532016556102,507.948802357702,44.2808512360885,564.761670149892
29,45918424.1065034,13.7616418867194,562.127896744758,49.0039579892171,624.893496620695
30,45918358.0749177,15.1118215166801,621.622787203005,54.1904736015402,690.925082321226
31,45918285.565213,16.5943552168996,686.954603809591,59.8858280126771,763.434787039168
32,45918205.9424326,18.2221936853781,758.695476564777,66.1398971221509,843.057567372306
33,45918118.5095055,20.0095499768771,837.473508193758,73.0074362974442,930.490494468079
34,45918022.5011946,21.9720215497091,923.978228064742,80.5485558237564,1026.49880543821
35,45917917.0774608,24.1267239057478,1018.96657299456,88.8292422856122,1131.92253918592
36,45917801.316188,26.4924368820554,1123.26944490643,97.9219302360291,1247.68381202452
37,45917674.2052065,29.0897647401512,1237.79889984842,107.906128905062,1374.79479349364
38,45917534.6335518,31.9413112918582,1363.55602779697,118.869109128108,1514.36644821694
39,45917381.3818845,35.0718713987436,1501.63958798012,130.906656137253,1667.61811551612
40,45917213.1119952,38.5086402851052,1653.25547017954,144.123894357992,1835.88800482264
41,45917028.3553083,42.2814422117889,1819.72705862885,158.636190890523,2020.64469173116
42,45916825.5002932,46.422980169137,2002.50658173473,174.570144930944,2223.49970683481
43,45916602.7786827,50.9691083610699,2203.18753792003,192.064671004262,2446.22131728536
44,45916358.2503907,55.9591293673354,2423.51829543289,211.272184538847,2690.74960933907
45,45916089.787011,61.4361179855073,2665.41697198505,232.359899011042,2959.21298898159
46,45915795.0537729,67.4472738660406,2930.98770856885,255.511244628438,3253.94622706332
47,45915471.4898148,74.0443051595552,3222.53846073909,280.927419299382,3577.51018519802
48,45915116.2866311,81.283845491709,3542.60044000001,308.829083451748,3932.71336894347
49,45914726.3645346,89.2279066627086,3893.94934766113,339.458211111642,4322.63546543548
50,45914298.3469664,97.9443695297067,4279.6285535454,373.080110526196,4750.6530336013
51,45913828.5324738,107.507515563607,4702.9743821497,409.98562850524,5220.46752621854
52,45913312.8641663,117.998601561814,5167.64367866347,450.493553511458,5736.13583373675
53,45912746.8964487,129.506479952182,5677.64383787093,494.953233454445,6302.10355127756
54,45912125.7588121,142.128267099225,6237.36549525885,543.747425564691,6923.24118792276
55,45911444.1164766,155.970061535079,6851.61806727427,597.295394644546,7604.88352345389
56,45910696.1276411,171.147714154474,7525.66836542431,656.056279283869,8352.87235886265
57,45909875.3971095,187.787651716489,8265.28249444243,720.532744366854,9173.60289052577
58,45908974.9260453,206.027754576537,9076.77126055635,791.274939574833,10074.0739547077
59,45907987.0576178,226.018288743272,9967.03931039688,868.884783110737,11061.9423822509
60,45906903.4182941,247.922891440945,10943.6382242855,954.020590149763,12145.5817058762
61,45905714.8545452,271.919608140361,12014.8237817088,1047.40206500381,13334.145454853
62,45904411.3647433,298.201977503127,13189.617604299,1149.81567489861,14637.6352567007
63,45902982.0260594,326.980158681283,14477.8733604625,1262.12042141622,16066.97394056
64,45901414.9161882,358.482093137923,15890.347694836,1385.25402382826,17634.0838118021
65,45899697.0297799,392.954690231562,17438.7760048646,1520.23952498088,19351.9702200771
66,45897814.1895229,430.66502234978,19135.9531293768,1668.19232538712,21234.8104771137
67,45895750.9518876,471.901511162212,20995.8189551926,1830.32764605283,23298.0481124076
68,45893490.5076471,516.97508158364,23033.5488585563,2007.96841278238,25558.4923529223
69,45891014.5774108,566.220254148169,25265.6487898263,2202.553545264,28034.4225892385
70,45888303.3025626,619.996139585105,27710.0546752865,2415.64662250381,30745.6974373754
71,45885335.1321824,678.68729136298,30386.235644505,2648.94488175508,33713.8678176231
72,45882086.7067561,742.704362731888,33315.3003906273,2904.28849056347,36962.2932439227
73,45878532.739756,812.484504273542,36520.1057292258,3183.67001047335,40516.2602439726
74,45874645.8984946,888.491426123882,40025.3661334641,3489.24394584514,44403.1015054331
75,45870396.6860386,971.21503587642,43857.762683896,3823.33624164283,48652.3139614152
76,45865753.3264168,1061.17054879168,48046.0494749437,4188.45355950562,53295.673583241
77,45860681.6558647,1158.89695151675,52621.1550622934,4587.29212150731,58367.3441353174
78,45855145.0234378,1264.95468438297,57616.2760124134,5022.74586541194,63903.9765622083
79,45849104.2049801,1379.92239100056,63066.9590251888,5497.9136037814,69944.7950199708
80,45842517.3351661,1504.39256803141,69011.1674438185,6016.10482202998,76531.6648338799
81,45835339.863115,1638.9659341968,75489.3272617194,6580.84368911381,83709.1368850301
82,45827524.5379338,1784.24432565007,82544.3469541815,7195.87078637153,91524.4620662031
83,45819021.4316919,1940.82191088857,90221.6044274684,7865.14196980147,100027.568308158
