"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,1,0,0,0
3,1,0,0,0
4,2,0,0,1
5,2,0,0,0
6,2,0,0,0
7,2,0,0,0
8,2,0,0,0
9,3,0,0,1
10,6,0,0,3
11,10,0,0,4
12,13,0,0,3
13,16,0,0,3
14,16,0,0,0
15,19,0,0,3
16,30,0,0,11
17,46,0,0,16
18,56,0,0,10
19,65,0,0,9
20,136,0,0,71
21,152,0,0,16
22,164,1,1,12
23,241,4,3,77
24,286,5,1,45
25,396,9,4,110
26,459,15,6,63
27,631,22,7,172
28,745,30,8,114
29,810,40,10,65
30,862,48,8,52
31,1053,58,10,191
32,1223,68,10,170
33,1406,84,16,183
34,1451,98,14,45
35,1517,113,15,66
36,2339,136,23,822
37,2981,164,28,642
38,3506,188,24,525
39,4048,219,31,542
40,4466,260,41,418
41,4620,275,15,154
42,4866,304,29,246
43,5682,371,67,816
44,6708,428,57,1026
45,7480,496,68,772
46,8216,540,44,736
47,8419,560,20,203
48,8755,588,28,336
49,8895,608,20,140
50,9371,695,87,476
51,11043,778,83,1672
52,11568,853,75,525
53,12841,928,75,1273
54,13894,991,63,1053
55,14267,1015,24,373
56,14580,1037,22,313
57,15385,1093,56,805
58,15914,1134,41,529
59,16740,1345,211,826
60,17826,1512,167,1086
61,20004,1667,155,2178
62,20715,1700,33,711
63,21696,1825,125,981
64,24041,2049,224,2345
65,26158,2247,198,2117
66,28698,2375,128,2540
67,30374,2511,136,1676
68,31174,2586,75,800
69,31772,2627,41,598
70,32187,2654,27,415
71,34053,2851,197,1866
72,37853,3045,194,3800
73,39928,3206,161,2075
74,41830,3416,210,1902
75,44411,3608,192,2581
76,45444,3709,101,1033
77,46131,3743,34,687
