"time","S","I","R","D","I_"
1,1572865,1,0,0,1
2,1572864.60528842,1.06306917645159,0.319599990219889,0.0120424097551751,1.39471157642665
3,1572864.18568214,1.1301160748826,0.659357443989448,0.0248443453023351,1.81431786417439
4,1572863.73961199,1.20139140381883,1.02054292084515,0.0384536808562008,2.26038800552018
5,1572863.26540937,1.27716176506778,1.40450753480329,0.0529213258945822,2.73459062576565
6,1572862.76129905,1.35771079078009,1.81268871877578,0.06830144235944,3.23870095191532
7,1572862.22539532,1.44333976130256,2.24661335760077,0.0846515627083223,3.77460468161165
8,1572861.65569308,1.53436903280177,2.7079050256262,0.102032862623846,4.34430692105182
9,1572861.05006099,1.63113912713746,3.19828951264654,0.120510369228954,4.94993900901296
10,1572860.40623308,1.73401207315026,3.71960162467042,0.140153217337329,5.59376691515801
11,1572859.72180039,1.84337274334619,4.27379196161818,0.16103490483454,6.27819960979891
12,1572858.99420228,1.95963023664003,4.86293392887743,0.18323355687087,7.00579772238833
13,1572858.22071658,2.08321945554824,5.48923173511639,0.206832227215971,7.77928341788061
14,1572857.39844948,2.21460272260228,6.15502858940071,0.231919207123205,8.60155051912619
15,1572856.52432469,2.35427150489382,6.86281544707803,0.258588354871344,9.4756753068432
16,1572855.59507195,2.50274825591002,7.61524035097896,0.286939447737584,10.4049280546266
17,1572854.60721476,2.66058836464305,8.41511831719113,0.317078554489858,11.392785236324
18,1572853.55705748,2.82838222958559,9.26544185486102,0.349118431769096,12.4429425162157
19,1572852.44067143,3.00675746565298,10.1693921609222,0.383178945902449,13.5593285724776
20,1572851.25388021,3.19638124928765,11.1303510165348,0.419387521156753,14.7461197869792
21,1572849.99224414,3.39796281032528,12.1519134289036,0.457879616077552,16.0077558553065
22,1572848.65104362,3.61225608094164,13.2379010709927,0.498799229892605,17.3489563818269
23,1572847.22526148,3.84006251124736,14.3923765678648,0.542299440815886,18.774738519928
24,1572845.70956428,4.08223406195781,15.6196586827649,0.588542978253596,20.2904357229763
25,1572844.09828232,4.33967638525758,16.9243384596117,0.637702831047302,21.9017176759166
26,1572842.38538852,4.61335220564613,18.3112963819833,0.689962894018185,23.6146114816476
27,1572840.56447582,4.90428491329871,19.7857206125181,0.745518655220941,25.4355241810378
28,1572838.62873331,5.21356238325217,21.3531263806342,0.804577926465886,27.3712666903522
29,1572836.57092075,5.54234103455294,23.0193765907234,0.867361619828128,29.4290792451045
30,1572834.38334155,5.89185014438259,24.7907037274962,0.934104573032861,31.6166584449117
31,1572832.057814,6.26339643310794,26.6737331399464,1.00505642678658,33.9421859998409
32,1572829.58564071,6.65836893719075,28.6755077905012,1.08048255731593,36.4143592850079
33,1572826.95757618,7.07824418794075,30.8035145613314,1.16066506757975,39.0424238168519
34,1572824.16379223,7.52459171520711,33.0657122155382,1.24590384083632,41.8362077715817
35,1572821.19384133,7.99907989628306,35.4705611170368,1.33651766047756,44.8061586737974
36,1572818.03661761,8.50348217154821,38.0270548194271,1.43284540028609,47.9633823912614
37,1572814.68031542,9.03968364969867,40.744753641021,1.53524728952981,51.3196845802494
38,1572811.11238526,9.60968812681967,43.6338203504897,1.64410625758397,54.8876147348934
39,1572807.319487,10.2156255450442,46.7050580953426,1.75982936306227,58.6805130034491
40,1572803.28744006,10.8597599181178,49.9699507136671,1.88284931274831,62.7125599445333
41,1572799.00117059,11.5444977528617,53.4407055782866,2.0136260759477,66.9988294070959
42,1572794.44465527,12.2723969972926,57.1302991317457,2.1526486002295,71.5553447292678
43,1572789.60086154,13.0461765480353,61.0525252803573,2.30043663489604,76.3991384632887
44,1572784.45168415,13.8687263516414,65.2220468259599,2.4575426689126,81.5483158465139
45,1572778.97787775,14.7431181365289,69.6544501250885,2.62455399044478,87.0221222520622
46,1572773.15898513,15.6726168144756,74.3663031769776,2.80209487559306,92.8410148670463
47,1572766.97326114,16.6606925929446,79.3752173542436,2.99082891438212,99.0267388615703
48,1572760.39759167,17.7110338420004,84.6999130032685,3.19146148255911,105.602408327828
49,1572753.40740771,18.8275607621977,90.3602891552681,3.40474236828098,112.592592285747
50,1572745.97659393,20.0144399025881,96.3774976038315,3.63146856332888,120.023406069749
51,1572738.07739157,21.2760995809171,102.774021620398,3.87248722907824,127.922608430393
52,1572729.68029529,22.6172462611635,109.573759595744,4.12869884807926,136.319704704987
