"dia","infectados","mortos","mortosD","infectadosD"
1,1,0,0,1
2,1,0,0,0
3,1,0,0,0
4,2,0,0,1
5,5,0,0,3
6,7,0,0,2
7,7,0,0,0
8,7,0,0,0
9,8,0,0,1
10,9,0,0,1
11,9,0,0,0
12,10,0,0,1
13,11,0,0,1
14,12,0,0,1
15,12,0,0,0
16,12,0,0,0
17,13,0,0,1
18,16,0,0,3
19,17,0,0,1
20,19,0,0,2
21,19,0,0,0
22,23,0,0,4
23,23,0,0,0
24,23,0,0,0
25,25,0,0,2
26,26,0,0,1
27,26,0,0,0
28,27,0,0,1
29,29,1,1,2
30,31,1,0,2
31,32,1,0,1
32,33,1,0,1
33,34,1,0,1
34,35,2,1,1
35,37,2,0,2
36,37,2,0,0
37,43,2,0,6
38,50,2,0,7
39,58,2,0,8
40,67,2,0,9
41,79,2,0,12
42,116,2,0,37
43,137,3,1,21
44,164,3,0,27
45,191,4,1,27
46,246,4,0,55
47,267,6,2,21
48,303,7,1,36
49,351,9,2,48
50,423,9,0,72
51,494,9,0,71
52,573,9,0,79
53,688,11,2,115
54,747,12,1,59
55,747,12,0,0
